[4/15/23 12:47AM] Tew used command ::refer  | Player rights = PLAYER	
[4/15/23 12:48AM] Tew used command ::refer | Player rights = PLAYER	
[4/15/23 12:49AM] Tew used command ::Home | Player rights = PLAYER	
[4/15/23 12:51AM] Tew used command ::commands | Player rights = PLAYER	
[4/15/23 12:51AM] Tew used command ::daily | Player rights = PLAYER	
[4/15/23 12:51AM] Tew used command ::train | Player rights = PLAYER	
[4/15/23 12:52AM] Tew used command ::reward 1 | Player rights = PLAYER	
[4/15/23 12:53AM] Tew used command ::Train | Player rights = PLAYER	
[4/15/23 01:00AM] Tew used command ::vboss | Player rights = PLAYER	
[4/15/23 01:01AM] Tew used command ::train | Player rights = PLAYER	
[4/15/23 01:05AM] Tew used command ::commands | Player rights = PLAYER	
[4/15/23 01:05AM] Tew used command ::Train | Player rights = PLAYER	
[4/15/23 01:15AM] Tew used command ::donate | Player rights = PLAYER	
[4/15/23 01:16AM] Tew used command ::home | Player rights = PLAYER	
[4/15/23 01:27AM] Tew used command ::afk | Player rights = PLAYER	
[4/15/23 01:27AM] Tew used command ::shops | Player rights = PLAYER	
[4/15/23 01:28AM] Tew used command ::shop | Player rights = PLAYER	
[4/15/23 01:28AM] Tew used command ::shops | Player rights = PLAYER	
[4/15/23 01:28AM] Tew used command ::Home | Player rights = PLAYER	
[4/15/23 01:33AM] Tew used command ::afk | Player rights = PLAYER	
[4/15/23 08:29AM] Tew used command ::veigar | Player rights = PLAYER	
[4/15/23 08:29AM] Tew used command ::ninetails | Player rights = PLAYER	
[4/15/23 08:30AM] Tew used command ::meruem | Player rights = PLAYER	
[4/15/23 08:34AM] Tew used command ::Home | Player rights = PLAYER	
[4/15/23 08:52AM] Tew used command ::upgrade | Player rights = PLAYER	
[4/15/23 08:59AM] Tew used command ::veigar | Player rights = PLAYER	
[4/15/23 09:01AM] Tew used command ::voteboss | Player rights = PLAYER	
[4/15/23 09:03AM] Tew used command ::reward 1 | Player rights = PLAYER	
[4/15/23 09:22AM] Tew used command ::slayer | Player rights = PLAYER	
[4/15/23 09:28AM] Tew used command ::veigar | Player rights = PLAYER	
[4/15/23 09:31AM] Tew used command ::golden | Player rights = PLAYER	
[4/15/23 09:53AM] Tew used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:54AM] Tew used command ::title | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:54AM] Tew used command ::titles | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:59AM] Tew used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:05AM] Tew used command ::coordinates | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:05AM] Tew used command ::coords | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:14AM] Tew used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:27AM] Tew used command ::master | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:28AM] Tew used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29AM] Tew used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29AM] Tew used command ::ninetail | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:47AM] Tew used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:47AM] Tew used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:47AM] Tew used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:47AM] Tew used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:47AM] Tew used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:47AM] Tew used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:47AM] Tew used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:47AM] Tew used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:49AM] Tew used command ::titles | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:56AM] Tew used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:57AM] Tew used command ::hideplayers | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:11AM] Tew used command ::Ref | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:28AM] Tew used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:28AM] Tew used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:29AM] Tew used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:30AM] Tew used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:58AM] Tew used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:04PM] Tew used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:29PM] Tew used command ::veigar | Player rights = GRACEFUL_DONATOR	
