[4/16/23 08:32PM] Duhs used command ::vote | Player rights = PLAYER	
[4/16/23 08:36PM] Duhs used command ::bank | Player rights = PLAYER	
[4/16/23 08:38PM] Duhs used command ::claimvote | Player rights = PLAYER	
[4/16/23 08:41PM] Duhs used command ::voted | Player rights = PLAYER	
[4/16/23 08:42PM] Duhs used command ::claimvote | Player rights = PLAYER	
[4/16/23 08:45PM] Duhs used command ::bank | Player rights = PLAYER	
[4/16/23 08:46PM] Duhs used command ::bank | Player rights = PLAYER	
[4/16/23 08:52PM] Duhs used command ::veigar | Player rights = PLAYER	
[4/16/23 08:53PM] Duhs used command ::veigar | Player rights = PLAYER	
[4/16/23 08:54PM] Duhs used command ::train | Player rights = PLAYER	
[4/16/23 08:59PM] Duhs used command ::shops | Player rights = PLAYER	
[4/16/23 09:46PM] Duhs used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:34AM] Duhs used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:08AM] Duhs used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:15AM] Duhs used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:24AM] Duhs used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:29AM] Duhs used command ::afk | Player rights = GRACEFUL_DONATOR	
