[4/20/23 01:31PM] Dvx used command ::ref | Player rights = PLAYER	
[4/20/23 01:31PM] Dvx used command ::vboss | Player rights = PLAYER	
[4/20/23 01:35PM] Dvx used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:37PM] Dvx used command ::train | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:40PM] Dvx used command ::train | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:42PM] Dvx used command ::altar | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:42PM] Dvx used command ::prayer | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:44PM] Dvx used command ::train | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:49PM] Dvx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:51PM] Dvx used command ::train | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:02PM] Dvx used command ::coll | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:02PM] Dvx used command ::cik | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:02PM] Dvx used command ::col | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:02PM] Dvx used command ::collog | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:02PM] Dvx used command :::collectionlog | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:15PM] Dvx used command ::kc | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:15PM] Dvx used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:19PM] Dvx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:21PM] Dvx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:25PM] Dvx used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:34PM] Dvx used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:49PM] Dvx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:50PM] Dvx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:51PM] Dvx used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:52PM] Dvx used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:53PM] Dvx used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:53PM] Dvx used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:53PM] Dvx used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:54PM] Dvx used command ::reward 1 3 | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:17PM] Dvx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:20PM] Dvx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:21PM] Dvx used command ::mureum | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:21PM] Dvx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:22PM] Dvx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:23PM] Dvx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:23PM] Dvx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:45PM] Dvx used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:45PM] Dvx used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:49PM] Dvx used command ::veigar | Player rights = GRACEFUL_DONATOR	
