[4/19/23 12:53AM] Spaceape used command ::refer google | Player rights = PLAYER	
[4/19/23 01:01AM] Spaceape used command ::train | Player rights = PLAYER	
[4/19/23 01:04AM] Spaceape used command ::pos | Player rights = PLAYER	
[4/19/23 01:04AM] Spaceape used command ::home | Player rights = PLAYER	
[4/19/23 01:06AM] Spaceape used command ::train | Player rights = PLAYER	
[4/19/23 01:13AM] Spaceape used command ::train | Player rights = PLAYER	
[4/19/23 01:15AM] Spaceape used command ::train | Player rights = PLAYER	
[4/19/23 01:17AM] Spaceape used command ::train | Player rights = PLAYER	
[4/19/23 01:21AM] Spaceape used command ::train | Player rights = PLAYER	
[4/19/23 01:23AM] Spaceape used command ::veigar | Player rights = PLAYER	
[4/20/23 11:25AM] Spaceape used command ::train | Player rights = PLAYER	
[4/20/23 11:25AM] Spaceape used command ::store | Player rights = PLAYER	
[4/20/23 11:29AM] Spaceape used command ::claim | Player rights = PLAYER	
[4/20/23 11:30AM] Spaceape used command ::pos | Player rights = PLAYER	
[4/20/23 11:34AM] Spaceape used command ::home | Player rights = PLAYER	
[4/20/23 11:49AM] Spaceape used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:50AM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:51AM] Spaceape used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 11:58AM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 12:05PM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 12:10PM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:10PM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Spaceape used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:20PM] Spaceape used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Spaceape used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 12:22PM] Spaceape used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:27PM] Spaceape used command ::store | Player rights = CLERIC_DONATOR	
[4/20/23 12:29PM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:30PM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:33PM] Spaceape used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 12:39PM] Spaceape used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 12:49PM] Spaceape used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:50PM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 12:50PM] Spaceape used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 12:54PM] Spaceape used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 12:58PM] Spaceape used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 01:07PM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 01:08PM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 01:09PM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 01:09PM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 01:10PM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 01:10PM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 01:11PM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 01:13PM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 01:13PM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 01:14PM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 01:15PM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 01:15PM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 01:17PM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 01:17PM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 01:17PM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 01:19PM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 01:19PM] Spaceape used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:20PM] Spaceape used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:21PM] Spaceape used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:22PM] Spaceape used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 10:11AM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:13AM] Spaceape used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 10:13AM] Spaceape used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:14AM] Spaceape used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/21/23 10:15AM] Spaceape used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/21/23 10:15AM] Spaceape used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 10:15AM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/21/23 10:20AM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/21/23 10:20AM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/21/23 10:21AM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/21/23 10:21AM] Spaceape used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:25AM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/21/23 10:25AM] Spaceape used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:26AM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/21/23 10:28AM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/21/23 10:29AM] Spaceape used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:32AM] Spaceape used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:33AM] Spaceape used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 10:34AM] Spaceape used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 10:35AM] Spaceape used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:38AM] Spaceape used command ::::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:38AM] Spaceape used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:40AM] Spaceape used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 10:46AM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:49AM] Spaceape used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 10:55AM] Spaceape used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 11:00AM] Spaceape used command ::globals | Player rights = CLERIC_DONATOR	
[4/21/23 11:00AM] Spaceape used command ::global | Player rights = CLERIC_DONATOR	
[4/21/23 11:01AM] Spaceape used command ::globals | Player rights = CLERIC_DONATOR	
[4/21/23 11:01AM] Spaceape used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 11:01AM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:02AM] Spaceape used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 11:03AM] Spaceape used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 11:07AM] Spaceape used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 11:08AM] Spaceape used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 11:55AM] Spaceape used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 12:01PM] Spaceape used command ::store | Player rights = CLERIC_DONATOR	
[4/21/23 12:02PM] Spaceape used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:04PM] Spaceape used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 12:04PM] Spaceape used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 12:05PM] Spaceape used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 12:07PM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:09PM] Spaceape used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 12:16PM] Spaceape used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 12:32PM] Spaceape used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:34PM] Spaceape used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 12:35PM] Spaceape used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 12:47PM] Spaceape used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 01:02PM] Spaceape used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:02PM] Spaceape used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:06PM] Spaceape used command ::Dr | Player rights = CLERIC_DONATOR	
[4/21/23 01:11PM] Spaceape used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 01:13PM] Spaceape used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 01:19PM] Spaceape used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 01:20PM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:20PM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:25PM] Spaceape used command ::Dr | Player rights = CLERIC_DONATOR	
[4/22/23 06:09AM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 06:19AM] Spaceape used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 06:19AM] Spaceape used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 06:24AM] Spaceape used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 06:25AM] Spaceape used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 06:32AM] Spaceape used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:33AM] Spaceape used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 06:34AM] Spaceape used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 06:53AM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 06:57AM] Spaceape used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 06:57AM] Spaceape used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 07:00AM] Spaceape used command ::kc | Player rights = CLERIC_DONATOR	
[4/22/23 07:00AM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/22/23 07:01AM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 11:28AM] Spaceape used command ::noble | Player rights = CLERIC_DONATOR	
[4/23/23 11:35AM] Spaceape used command ::vote | Player rights = CLERIC_DONATOR	
[4/23/23 11:39AM] Spaceape used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 11:40AM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 11:40AM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 11:44AM] Spaceape used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 11:55AM] Spaceape used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 12:01PM] Spaceape used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 12:05PM] Spaceape used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 12:05PM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:08PM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:08PM] Spaceape used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 12:12PM] Spaceape used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 12:14PM] Spaceape used command ::fewb | Player rights = CLERIC_DONATOR	
[4/23/23 12:15PM] Spaceape used command ::fewb | Player rights = CLERIC_DONATOR	
[4/23/23 12:22PM] Spaceape used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 10:26AM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 04:49AM] Spaceape used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 04:51AM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 04:53AM] Spaceape used command ::meruem | Player rights = CLERIC_DONATOR	
[4/27/23 04:57AM] Spaceape used command ::golden | Player rights = CLERIC_DONATOR	
[4/27/23 05:01AM] Spaceape used command ::collection | Player rights = CLERIC_DONATOR	
[4/27/23 05:02AM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 05:05AM] Spaceape used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 05:06AM] Spaceape used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 05:08AM] Spaceape used command ::meruem | Player rights = CLERIC_DONATOR	
[4/27/23 05:19AM] Spaceape used command ::vote | Player rights = CLERIC_DONATOR	
[4/27/23 05:23AM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 05:23AM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 05:24AM] Spaceape used command ::shops | Player rights = CLERIC_DONATOR	
[4/27/23 05:24AM] Spaceape used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 05:25AM] Spaceape used command ::dr | Player rights = CLERIC_DONATOR	
[4/27/23 05:26AM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 05:27AM] Spaceape used command ::bank | Player rights = CLERIC_DONATOR	
[4/27/23 05:29AM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 05:45AM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/27/23 06:00AM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/27/23 06:01AM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/27/23 06:01AM] Spaceape used command ::kills | Player rights = CLERIC_DONATOR	
[4/27/23 06:05AM] Spaceape used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 06:06AM] Spaceape used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 06:08AM] Spaceape used command ::meruem | Player rights = CLERIC_DONATOR	
[4/27/23 06:08AM] Spaceape used command ::golden | Player rights = CLERIC_DONATOR	
[4/27/23 06:10AM] Spaceape used command ::vboss | Player rights = CLERIC_DONATOR	
[4/27/23 06:10AM] Spaceape used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/27/23 06:10AM] Spaceape used command ::globals | Player rights = CLERIC_DONATOR	
[4/27/23 06:11AM] Spaceape used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 06:12AM] Spaceape used command ::achievement | Player rights = CLERIC_DONATOR	
