[4/18/23 04:09PM] Autumn used command ::home | Player rights = PLAYER	
[4/18/23 04:09PM] Autumn used command ::afk | Player rights = PLAYER	
[4/18/23 04:10PM] Autumn used command ::home | Player rights = PLAYER	
[4/20/23 01:42PM] Autumn used command ::vote | Player rights = PLAYER	
[4/20/23 02:16PM] Autumn used command ::rewards 1 all | Player rights = PLAYER	
[4/20/23 02:16PM] Autumn used command ::tasks | Player rights = PLAYER	
[4/20/23 02:17PM] Autumn used command ::tasks | Player rights = PLAYER	
[4/20/23 02:19PM] Autumn used command ::afk | Player rights = PLAYER	
[4/20/23 02:21PM] Autumn used command ::home | Player rights = PLAYER	
[4/20/23 02:36PM] Autumn used command ::fk | Player rights = PLAYER	
[4/20/23 02:36PM] Autumn used command ::afk | Player rights = PLAYER	
[4/21/23 12:10PM] Autumn used command ::afk | Player rights = PLAYER	
[4/21/23 03:03PM] Autumn used command ::rewards 1 all | Player rights = PLAYER	
