[4/17/23 12:38PM] Fataliity used command ::trainb | Player rights = PLAYER	
[4/17/23 12:38PM] Fataliity used command ::train | Player rights = PLAYER	
[4/17/23 12:39PM] Fataliity used command ::ref fpk merk | Player rights = PLAYER	
[4/17/23 12:40PM] Fataliity used command ::home | Player rights = PLAYER	
[4/17/23 12:44PM] Fataliity used command ::train | Player rights = PLAYER	
[4/17/23 12:57PM] Fataliity used command ::train | Player rights = PLAYER	
[4/17/23 01:12PM] Fataliity used command ::boss | Player rights = PLAYER	
[4/17/23 01:12PM] Fataliity used command ::bosses | Player rights = PLAYER	
[4/17/23 01:12PM] Fataliity used command ::vote | Player rights = PLAYER	
[4/17/23 01:14PM] Fataliity used command ::reward 1 | Player rights = PLAYER	
[4/17/23 01:32PM] Fataliity used command ::Veigar | Player rights = PLAYER	
[4/17/23 01:33PM] Fataliity used command ::ninetails | Player rights = PLAYER	
[4/17/23 01:33PM] Fataliity used command ::golden | Player rights = PLAYER	
[4/17/23 01:34PM] Fataliity used command ::veigar | Player rights = PLAYER	
[4/17/23 01:34PM] Fataliity used command ::ninetail | Player rights = PLAYER	
[4/17/23 01:34PM] Fataliity used command ::ninetails | Player rights = PLAYER	
[4/17/23 01:34PM] Fataliity used command ::golden | Player rights = PLAYER	
[4/17/23 02:01PM] Fataliity used command ::Veigar | Player rights = PLAYER	
[4/17/23 02:04PM] Fataliity used command ::home | Player rights = PLAYER	
[4/17/23 02:31PM] Fataliity used command ::perks | Player rights = PLAYER	
[4/17/23 02:32PM] Fataliity used command ::veigar | Player rights = PLAYER	
[4/17/23 02:33PM] Fataliity used command ::ninetails | Player rights = PLAYER	
[4/17/23 02:33PM] Fataliity used command ::meurem | Player rights = PLAYER	
[4/17/23 02:33PM] Fataliity used command ::meruem | Player rights = PLAYER	
[4/17/23 03:02PM] Fataliity used command ::Veigar | Player rights = PLAYER	
[4/17/23 03:03PM] Fataliity used command ::ninetails | Player rights = PLAYER	
[4/17/23 03:03PM] Fataliity used command ::veigar | Player rights = PLAYER	
[4/17/23 07:32PM] Fataliity used command ::veigar | Player rights = PLAYER	
[4/17/23 07:33PM] Fataliity used command ::ninetails | Player rights = PLAYER	
[4/17/23 07:33PM] Fataliity used command ::golden | Player rights = PLAYER	
[4/17/23 07:34PM] Fataliity used command ::ninetails | Player rights = PLAYER	
[4/17/23 07:34PM] Fataliity used command ::veigar | Player rights = PLAYER	
[4/17/23 08:44PM] Fataliity used command ::veigar | Player rights = PLAYER	
[4/17/23 08:44PM] Fataliity used command ::ninetails | Player rights = PLAYER	
[4/17/23 08:44PM] Fataliity used command ::veigar | Player rights = PLAYER	
[4/17/23 08:46PM] Fataliity used command ::bank | Player rights = PLAYER	
[4/18/23 12:21AM] Fataliity used command ::collection | Player rights = PLAYER	
[4/18/23 12:33AM] Fataliity used command ::Wboss | Player rights = PLAYER	
[4/18/23 12:33AM] Fataliity used command ::veigar | Player rights = PLAYER	
[4/18/23 12:34AM] Fataliity used command ::collections | Player rights = PLAYER	
[4/18/23 12:34AM] Fataliity used command ::collection | Player rights = PLAYER	
[4/18/23 12:41AM] Fataliity used command ::veigar | Player rights = PLAYER	
[4/18/23 12:42AM] Fataliity used command ::ninetails | Player rights = PLAYER	
[4/18/23 12:42AM] Fataliity used command ::meruem | Player rights = PLAYER	
[4/18/23 12:44AM] Fataliity used command ::vboss | Player rights = PLAYER	
[4/18/23 12:55AM] Fataliity used command ::rewards | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:55AM] Fataliity used command ::reward | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:55AM] Fataliity used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:55AM] Fataliity used command ::reward 2 | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:07AM] Fataliity used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:11AM] Fataliity used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:12AM] Fataliity used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:04AM] Fataliity used command ::Collections | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:04AM] Fataliity used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:12AM] Fataliity used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:12AM] Fataliity used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:40AM] Fataliity used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:41AM] Fataliity used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:42AM] Fataliity used command ::ninetails | Player rights = GRACEFUL_DONATOR	
