[4/15/23 06:34AM] Ruthie used command ::vote | Player rights = PLAYER	
[4/15/23 06:36AM] Ruthie used command ::reward 1 | Player rights = PLAYER	
[4/15/23 06:37AM] Ruthie used command ::Reward 1 | Player rights = PLAYER	
[4/15/23 06:37AM] Ruthie used command ::Reward 1 | Player rights = PLAYER	
[4/15/23 06:37AM] Ruthie used command ::reward 1 | Player rights = PLAYER	
[4/15/23 06:37AM] Ruthie used command ::reward 2 | Player rights = PLAYER	
[4/15/23 06:37AM] Ruthie used command ::reward 2 | Player rights = PLAYER	
[4/15/23 06:44AM] Ruthie used command ::teleport | Player rights = PLAYER	
[4/15/23 06:44AM] Ruthie used command ::zones | Player rights = PLAYER	
[4/15/23 06:44AM] Ruthie used command ::bank | Player rights = PLAYER	
[4/15/23 06:44AM] Ruthie used command ::bank | Player rights = PLAYER	
[4/15/23 06:44AM] Ruthie used command ::teleport | Player rights = PLAYER	
[4/15/23 06:44AM] Ruthie used command ::train | Player rights = PLAYER	
[4/15/23 06:46AM] Ruthie used command ::starter | Player rights = PLAYER	
[4/15/23 06:46AM] Ruthie used command ::train | Player rights = PLAYER	
[4/15/23 06:52AM] Ruthie used command ::starter | Player rights = PLAYER	
[4/15/23 07:24AM] Ruthie used command ::train | Player rights = PLAYER	
[4/15/23 08:13AM] Ruthie used command ::Starter | Player rights = PLAYER	
[4/15/23 08:13AM] Ruthie used command ::train | Player rights = PLAYER	
[4/15/23 08:42AM] Ruthie used command ::train | Player rights = PLAYER	
[4/15/23 08:57AM] Ruthie used command ::walkchaos | Player rights = PLAYER	
[4/15/23 08:57AM] Ruthie used command ::ref | Player rights = PLAYER	
[4/15/23 08:59AM] Ruthie used command ::veigar | Player rights = PLAYER	
[4/15/23 09:01AM] Ruthie used command ::voteboss | Player rights = PLAYER	
[4/15/23 09:01AM] Ruthie used command ::bank | Player rights = PLAYER	
[4/15/23 09:02AM] Ruthie used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:04AM] Ruthie used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:04AM] Ruthie used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:05AM] Ruthie used command ::Yell sell vote home | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:07AM] Ruthie used command ::yell sell votes home first come 1st serve | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:12AM] Ruthie used command ::yell i just sold 9 votes for 96b and it says i didnt get it in my inv | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:12AM] Ruthie used command ::yell my inv) | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:13AM] Ruthie used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:15AM] Ruthie used command ::sshops | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:15AM] Ruthie used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:16AM] Ruthie used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:16AM] Ruthie used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:21AM] Ruthie used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:21AM] Ruthie used command ::Reward 1 | Player rights = GRACEFUL_DONATOR	
