[4/18/23 08:34PM] Cursed used command ::train | Player rights = PLAYER	
[4/18/23 08:36PM] Cursed used command ::refer | Player rights = PLAYER	
[4/18/23 08:37PM] Cursed used command ::curses | Player rights = PLAYER	
[4/18/23 08:37PM] Cursed used command ::home | Player rights = PLAYER	
[4/18/23 08:38PM] Cursed used command ::train | Player rights = PLAYER	
[4/18/23 08:40PM] Cursed used command ::bank | Player rights = PLAYER	
[4/18/23 08:40PM] Cursed used command ::bank | Player rights = PLAYER	
[4/18/23 08:42PM] Cursed used command ::veigar | Player rights = PLAYER	
[4/18/23 08:43PM] Cursed used command ::teleport | Player rights = PLAYER	
[4/18/23 08:43PM] Cursed used command ::Train | Player rights = PLAYER	
[4/18/23 08:49PM] Cursed used command ::bank | Player rights = PLAYER	
[4/18/23 08:49PM] Cursed used command ::bank | Player rights = PLAYER	
[4/18/23 08:49PM] Cursed used command ::home | Player rights = PLAYER	
[4/18/23 08:52PM] Cursed used command ::train | Player rights = PLAYER	
[4/18/23 08:56PM] Cursed used command ::pos | Player rights = PLAYER	
[4/18/23 08:56PM] Cursed used command ::home | Player rights = PLAYER	
[4/18/23 08:56PM] Cursed used command ::pos | Player rights = PLAYER	
[4/18/23 08:56PM] Cursed used command ::pos | Player rights = PLAYER	
[4/18/23 08:56PM] Cursed used command ::pos | Player rights = PLAYER	
[4/18/23 08:56PM] Cursed used command ::pos | Player rights = PLAYER	
[4/18/23 08:59PM] Cursed used command ::teleport | Player rights = PLAYER	
[4/18/23 08:59PM] Cursed used command ::train | Player rights = PLAYER	
[4/18/23 09:01PM] Cursed used command ::fps | Player rights = PLAYER	
[4/18/23 09:01PM] Cursed used command ::fps | Player rights = PLAYER	
[4/18/23 09:15PM] Cursed used command ::bank | Player rights = PLAYER	
[4/18/23 09:15PM] Cursed used command ::home | Player rights = PLAYER	
[4/18/23 09:16PM] Cursed used command ::bank | Player rights = PLAYER	
[4/18/23 09:24PM] Cursed used command ::teleport | Player rights = PLAYER	
[4/18/23 09:27PM] Cursed used command ::vote | Player rights = PLAYER	
[4/18/23 09:27PM] Cursed used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 09:28PM] Cursed used command ::claimvote | Player rights = PLAYER	
[4/18/23 09:30PM] Cursed used command ::bank | Player rights = PLAYER	
[4/18/23 09:34PM] Cursed used command ::home | Player rights = PLAYER	
[4/18/23 09:53PM] Cursed used command ::home | Player rights = PLAYER	
[4/18/23 09:54PM] Cursed used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:54PM] Cursed used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:02PM] Cursed used command ::store | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:12AM] Cursed used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:46AM] Cursed used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:47AM] Cursed used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:47AM] Cursed used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:48AM] Cursed used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:49AM] Cursed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:50AM] Cursed used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:50AM] Cursed used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:50AM] Cursed used command ::train | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:54AM] Cursed used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:57AM] Cursed used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:58AM] Cursed used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:00AM] Cursed used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:01AM] Cursed used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:01AM] Cursed used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:37AM] Cursed used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:37AM] Cursed used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:42AM] Cursed used command ::vote | Player rights = GRACEFUL_DONATOR	
