[4/21/23 10:44AM] Fewb used command ::empty | Player rights = DEVELOPER	
[4/21/23 10:45AM] Fewb used command ::master | Player rights = DEVELOPER	
[4/21/23 10:45AM] Fewb used command ::find owner's | Player rights = DEVELOPER	
[4/21/23 10:45AM] Fewb used command ::item 22239 | Player rights = DEVELOPER	
[4/21/23 10:45AM] Fewb used command ::item 22238 | Player rights = DEVELOPER	
[4/21/23 10:45AM] Fewb used command ::item 22237 | Player rights = DEVELOPER	
[4/21/23 10:45AM] Fewb used command ::item 22236 | Player rights = DEVELOPER	
[4/21/23 10:45AM] Fewb used command ::item 22235 | Player rights = DEVELOPER	
[4/21/23 10:45AM] Fewb used command ::item 22234 | Player rights = DEVELOPER	
[4/21/23 10:45AM] Fewb used command ::item 22233 | Player rights = DEVELOPER	
[4/21/23 10:45AM] Fewb used command ::item 22231 | Player rights = DEVELOPER	
[4/21/23 10:45AM] Fewb used command ::item 15834 | Player rights = DEVELOPER	
[4/21/23 10:45AM] Fewb used command ::item 8832 | Player rights = DEVELOPER	
[4/21/23 10:45AM] Fewb used command ::item 6640 | Player rights = DEVELOPER	
[4/21/23 10:46AM] Fewb used command ::item 22232 | Player rights = DEVELOPER	
[4/21/23 10:46AM] Fewb used command ::empty | Player rights = DEVELOPER	
[4/21/23 10:46AM] Fewb used command ::item 10025 200 | Player rights = DEVELOPER	
[4/21/23 10:46AM] Fewb used command ::item 10027 200 | Player rights = DEVELOPER	
[4/21/23 10:46AM] Fewb used command ::bank | Player rights = DEVELOPER	
[4/21/23 10:46AM] Fewb used command ::item 10029 200 | Player rights = DEVELOPER	
[4/21/23 10:46AM] Fewb used command ::item 15003 200 | Player rights = DEVELOPER	
[4/21/23 10:46AM] Fewb used command ::item 15004 200 | Player rights = DEVELOPER	
[4/21/23 10:47AM] Fewb used command ::item 15002 200 | Player rights = DEVELOPER	
[4/21/23 10:47AM] Fewb used command ::item 20489 200 | Player rights = DEVELOPER	
[4/21/23 10:47AM] Fewb used command ::item 20491 200 | Player rights = DEVELOPER	
[4/21/23 10:47AM] Fewb used command ::item 20490 200 | Player rights = DEVELOPER	
[4/21/23 10:47AM] Fewb used command ::item 20491 1 | Player rights = DEVELOPER	
[4/21/23 10:47AM] Fewb used command ::item 23059 | Player rights = DEVELOPER	
[4/21/23 10:47AM] Fewb used command ::bank | Player rights = DEVELOPER	
[4/21/23 10:48AM] Fewb used command ::bank | Player rights = DEVELOPER	
[4/21/23 10:50AM] Fewb used command ::bank | Player rights = DEVELOPER	
[4/23/23 10:36AM] Fewb used command ::fewb | Player rights = YOUTUBER	
[4/23/23 10:36AM] Fewb used command ::wr3cked | Player rights = YOUTUBER	
[4/23/23 10:39AM] Fewb used command ::vboss | Player rights = YOUTUBER	
[4/23/23 10:40AM] Fewb used command ::fewb | Player rights = YOUTUBER	
[4/23/23 10:55AM] Fewb used command ::veigar | Player rights = YOUTUBER	
[4/23/23 11:02AM] Fewb used command ::bank | Player rights = YOUTUBER	
[4/23/23 11:13AM] Fewb used command ::ref | Player rights = YOUTUBER	
[4/23/23 11:52AM] Fewb used command ::fewb | Player rights = YOUTUBER	
[4/23/23 11:55AM] Fewb used command ::Veigar | Player rights = YOUTUBER	
