[4/16/23 01:31AM] Mug used command :::ref | Player rights = PLAYER	
[4/16/23 01:31AM] Mug used command ::refferal | Player rights = PLAYER	
[4/16/23 01:31AM] Mug used command ::ref | Player rights = PLAYER	
[4/16/23 01:31AM] Mug used command ::ref | Player rights = PLAYER	
[4/16/23 01:34AM] Mug used command ::totem | Player rights = PLAYER	
[4/16/23 01:34AM] Mug used command ::train | Player rights = PLAYER	
[4/16/23 01:37AM] Mug used command ::train | Player rights = PLAYER	
[4/16/23 01:40AM] Mug used command ::vote | Player rights = PLAYER	
[4/16/23 01:41AM] Mug used command ::voted | Player rights = PLAYER	
[4/16/23 01:42AM] Mug used command ::claim | Player rights = PLAYER	
[4/16/23 01:42AM] Mug used command ::claimvote | Player rights = PLAYER	
[4/16/23 01:42AM] Mug used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 01:45AM] Mug used command ::train | Player rights = PLAYER	
[4/16/23 01:53AM] Mug used command ::veigar | Player rights = PLAYER	
[4/16/23 02:20AM] Mug used command ::ref | Player rights = PLAYER	
[4/16/23 02:23AM] Mug used command ::veigar | Player rights = PLAYER	
[4/16/23 02:40AM] Mug used command ::tasks | Player rights = PLAYER	
[4/16/23 02:48AM] Mug used command ::collection | Player rights = PLAYER	
[4/16/23 02:53AM] Mug used command ::veigar | Player rights = PLAYER	
[4/16/23 02:53AM] Mug used command ::maxhit | Player rights = PLAYER	
[4/16/23 02:54AM] Mug used command ::maxhit | Player rights = PLAYER	
[4/16/23 03:12AM] Mug used command ::bank | Player rights = PLAYER	
[4/16/23 03:14AM] Mug used command ::COLLECTION | Player rights = PLAYER	
[4/16/23 03:16AM] Mug used command ::collection | Player rights = PLAYER	
[4/16/23 03:23AM] Mug used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:26AM] Mug used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:29AM] Mug used command ::votebpss | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:29AM] Mug used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:30AM] Mug used command ::store | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:34AM] Mug used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:39AM] Mug used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:43AM] Mug used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:45AM] Mug used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:54AM] Mug used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:00AM] Mug used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:02AM] Mug used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:11AM] Mug used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:13AM] Mug used command ::fprge | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:13AM] Mug used command ::forge | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:13AM] Mug used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:13AM] Mug used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:23AM] Mug used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:37AM] Mug used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:46AM] Mug used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:16AM] Mug used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:16AM] Mug used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:16AM] Mug used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:20AM] Mug used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:21AM] Mug used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:23AM] Mug used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:25AM] Mug used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:29AM] Mug used command ::bis | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:29AM] Mug used command ::bis | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:49AM] Mug used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:02AM] Mug used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:49AM] Mug used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:38AM] Mug used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:49AM] Mug used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:50AM] Mug used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:19AM] Mug used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:21AM] Mug used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:30AM] Mug used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:33AM] Mug used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:49AM] Mug used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:53AM] Mug used command ::yellowboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:54AM] Mug used command ::wboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:13AM] Mug used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:18AM] Mug used command ::toggledrop | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:18AM] Mug used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:06AM] Mug used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:32AM] Mug used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:33AM] Mug used command ::store | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:35AM] Mug used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:02AM] Mug used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:13AM] Mug used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:13AM] Mug used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:21AM] Mug used command ::vboss | Player rights = GRACEFUL_DONATOR	
