[4/17/23 12:24AM] Lewa used command ::ref ents | Player rights = PLAYER	
[4/17/23 12:29AM] Lewa used command ::ref | Player rights = PLAYER	
[4/17/23 12:34AM] Lewa used command ::upgrade | Player rights = PLAYER	
[4/17/23 12:37AM] Lewa used command ::Vote | Player rights = PLAYER	
[4/17/23 12:38AM] Lewa used command ::reward 1 | Player rights = PLAYER	
[4/17/23 12:38AM] Lewa used command ::Reward 1 | Player rights = PLAYER	
[4/17/23 12:39AM] Lewa used command ::ninetails | Player rights = PLAYER	
[4/17/23 12:47AM] Lewa used command ::golden | Player rights = PLAYER	
[4/17/23 12:55AM] Lewa used command ::veigar | Player rights = PLAYER	
[4/17/23 01:02AM] Lewa used command ::vboss | Player rights = PLAYER	
[4/17/23 05:16AM] Lewa used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:16AM] Lewa used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:28AM] Lewa used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:06AM] Lewa used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:10AM] Lewa used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:14AM] Lewa used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:14AM] Lewa used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:15AM] Lewa used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:17AM] Lewa used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:22AM] Lewa used command ::::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:36AM] Lewa used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:43AM] Lewa used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:51AM] Lewa used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:22AM] Lewa used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:23AM] Lewa used command ::veigar | Player rights = GRACEFUL_DONATOR	
