[4/18/23 01:40PM] Wooxy used command ::refer | Player rights = PLAYER	
[4/18/23 01:41PM] Wooxy used command ::veigar | Player rights = PLAYER	
[4/18/23 01:41PM] Wooxy used command ::ninetails | Player rights = PLAYER	
[4/18/23 01:42PM] Wooxy used command ::golden | Player rights = PLAYER	
[4/18/23 01:42PM] Wooxy used command ::altar | Player rights = PLAYER	
[4/18/23 01:42PM] Wooxy used command ::altars | Player rights = PLAYER	
[4/18/23 01:45PM] Wooxy used command ::train | Player rights = PLAYER	
[4/18/23 01:58PM] Wooxy used command ::train | Player rights = PLAYER	
[4/18/23 02:00PM] Wooxy used command ::home | Player rights = PLAYER	
[4/18/23 02:01PM] Wooxy used command ::train | Player rights = PLAYER	
[4/18/23 02:04PM] Wooxy used command ::npctasks | Player rights = PLAYER	
[4/18/23 02:04PM] Wooxy used command ::npctasks | Player rights = PLAYER	
[4/18/23 02:04PM] Wooxy used command ::tasks | Player rights = PLAYER	
[4/18/23 02:04PM] Wooxy used command ::tasks | Player rights = PLAYER	
[4/18/23 02:05PM] Wooxy used command ::progression | Player rights = PLAYER	
[4/18/23 02:05PM] Wooxy used command ::progressions | Player rights = PLAYER	
[4/18/23 02:05PM] Wooxy used command ::progression | Player rights = PLAYER	
[4/18/23 02:06PM] Wooxy used command ::tasks | Player rights = PLAYER	
[4/18/23 02:08PM] Wooxy used command ::vote | Player rights = PLAYER	
[4/18/23 02:09PM] Wooxy used command ::veigar | Player rights = PLAYER	
[4/18/23 02:12PM] Wooxy used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 02:12PM] Wooxy used command ::tasks | Player rights = PLAYER	
[4/18/23 02:29PM] Wooxy used command ::pos | Player rights = PLAYER	
[4/18/23 02:29PM] Wooxy used command ::pos | Player rights = PLAYER	
[4/18/23 02:29PM] Wooxy used command ::home | Player rights = PLAYER	
[4/18/23 02:29PM] Wooxy used command ::pos | Player rights = PLAYER	
[4/18/23 02:29PM] Wooxy used command ::pos | Player rights = PLAYER	
[4/18/23 02:32PM] Wooxy used command ::tasks | Player rights = PLAYER	
[4/18/23 02:37PM] Wooxy used command ::home | Player rights = PLAYER	
[4/18/23 02:39PM] Wooxy used command ::veigar | Player rights = PLAYER	
[4/18/23 02:40PM] Wooxy used command ::tasks | Player rights = PLAYER	
[4/18/23 02:41PM] Wooxy used command ::ninetails | Player rights = PLAYER	
[4/18/23 02:42PM] Wooxy used command ::meruem | Player rights = PLAYER	
[4/18/23 02:49PM] Wooxy used command ::vboss | Player rights = PLAYER	
[4/18/23 02:51PM] Wooxy used command ::tasks | Player rights = PLAYER	
[4/18/23 02:59PM] Wooxy used command ::tasks | Player rights = PLAYER	
[4/18/23 03:01PM] Wooxy used command ::tasks | Player rights = PLAYER	
[4/18/23 03:10PM] Wooxy used command ::veigar | Player rights = PLAYER	
[4/18/23 03:40PM] Wooxy used command ::veigar | Player rights = PLAYER	
[4/18/23 03:40PM] Wooxy used command ::tasks | Player rights = PLAYER	
[4/18/23 03:41PM] Wooxy used command ::ninetails | Player rights = PLAYER	
[4/18/23 04:08PM] Wooxy used command ::players | Player rights = PLAYER	
[4/18/23 04:11PM] Wooxy used command ::veigar | Player rights = PLAYER	
[4/18/23 04:15PM] Wooxy used command ::vboss | Player rights = PLAYER	
[4/18/23 04:15PM] Wooxy used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:15PM] Wooxy used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:16PM] Wooxy used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:16PM] Wooxy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:16PM] Wooxy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:29PM] Wooxy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:29PM] Wooxy used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:40PM] Wooxy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:41PM] Wooxy used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:42PM] Wooxy used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:42PM] Wooxy used command ::goldenape | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:42PM] Wooxy used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:44PM] Wooxy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:57PM] Wooxy used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:58PM] Wooxy used command ::hideplayers | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:58PM] Wooxy used command ::fps | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:59PM] Wooxy used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:00PM] Wooxy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:00PM] Wooxy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:49AM] Wooxy used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:54AM] Wooxy used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:54AM] Wooxy used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:56AM] Wooxy used command ::collectionlog | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:56AM] Wooxy used command ::starter | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:56AM] Wooxy used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:56AM] Wooxy used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:00AM] Wooxy used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:00AM] Wooxy used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:01AM] Wooxy used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:02AM] Wooxy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:15AM] Wooxy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:01AM] Wooxy used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:02AM] Wooxy used command ::Veigar | Player rights = GRACEFUL_DONATOR	
