[4/21/23 04:00AM] Staypufd used command ::pin | Player rights = PLAYER	
[4/21/23 04:02AM] Staypufd used command ::Yell hi :) | Player rights = PLAYER	
[4/21/23 04:02AM] Staypufd used command ::veigar | Player rights = PLAYER	
[4/21/23 04:08AM] Staypufd used command ::train | Player rights = PLAYER	
[4/21/23 04:17AM] Staypufd used command ::vboss | Player rights = PLAYER	
[4/21/23 04:23AM] Staypufd used command ::TRain | Player rights = PLAYER	
[4/21/23 04:24AM] Staypufd used command ::pos | Player rights = PLAYER	
[4/21/23 04:26AM] Staypufd used command ::Train | Player rights = PLAYER	
[4/21/23 04:33AM] Staypufd used command ::veigar | Player rights = PLAYER	
[4/21/23 04:36AM] Staypufd used command ::ninetails | Player rights = PLAYER	
[4/21/23 04:38AM] Staypufd used command ::meruem | Player rights = PLAYER	
[4/21/23 04:43AM] Staypufd used command ::TRain | Player rights = PLAYER	
[4/21/23 04:47AM] Staypufd used command ::reward 1 | Player rights = PLAYER	
[4/21/23 04:48AM] Staypufd used command ::Bosses | Player rights = PLAYER	
[4/21/23 04:50AM] Staypufd used command ::Slayer | Player rights = PLAYER	
[4/21/23 04:51AM] Staypufd used command ::home | Player rights = PLAYER	
[4/21/23 04:51AM] Staypufd used command ::forteles | Player rights = PLAYER	
[4/21/23 04:59AM] Staypufd used command ::BAnk | Player rights = PLAYER	
[4/21/23 05:02AM] Staypufd used command ::Veigar | Player rights = PLAYER	
