[4/19/23 12:32PM] Kar9k1ll3r used command ::ref | Player rights = PLAYER	
[4/19/23 12:40PM] Kar9k1ll3r used command ::vote | Player rights = PLAYER	
[4/19/23 12:42PM] Kar9k1ll3r used command ::reward 1 all | Player rights = PLAYER	
[4/19/23 12:44PM] Kar9k1ll3r used command ::veigar | Player rights = PLAYER	
[4/19/23 12:45PM] Kar9k1ll3r used command ::shops | Player rights = PLAYER	
[4/19/23 12:46PM] Kar9k1ll3r used command ::voteboss | Player rights = PLAYER	
[4/19/23 12:49PM] Kar9k1ll3r used command ::commands | Player rights = PLAYER	
[4/19/23 12:50PM] Kar9k1ll3r used command ::donate | Player rights = PLAYER	
[4/19/23 12:57PM] Kar9k1ll3r used command ::pos | Player rights = PLAYER	
[4/19/23 01:00PM] Kar9k1ll3r used command ::pos | Player rights = PLAYER	
[4/19/23 01:14PM] Kar9k1ll3r used command ::veigar | Player rights = PLAYER	
[4/19/23 01:15PM] Kar9k1ll3r used command ::ninetails | Player rights = PLAYER	
[4/19/23 01:15PM] Kar9k1ll3r used command ::meruem | Player rights = PLAYER	
[4/19/23 08:44PM] Kar9k1ll3r used command ::vegar | Player rights = PLAYER	
[4/19/23 08:44PM] Kar9k1ll3r used command ::veigar | Player rights = PLAYER	
[4/20/23 12:20AM] Kar9k1ll3r used command ::veigar | Player rights = PLAYER	
[4/20/23 12:21AM] Kar9k1ll3r used command ::ninetails | Player rights = PLAYER	
[4/20/23 12:23AM] Kar9k1ll3r used command ::golden | Player rights = PLAYER	
[4/20/23 12:24AM] Kar9k1ll3r used command ::vote | Player rights = PLAYER	
[4/20/23 04:32AM] Kar9k1ll3r used command ::vote | Player rights = PLAYER	
[4/20/23 04:35AM] Kar9k1ll3r used command ::claimvote | Player rights = PLAYER	
[4/20/23 04:36AM] Kar9k1ll3r used command ::claimvote | Player rights = PLAYER	
[4/20/23 04:36AM] Kar9k1ll3r used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 04:39PM] Kar9k1ll3r used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:41PM] Kar9k1ll3r used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:43PM] Kar9k1ll3r used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:49PM] Kar9k1ll3r used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:51PM] Kar9k1ll3r used command ::npckills | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:03PM] Kar9k1ll3r used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:41AM] Kar9k1ll3r used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:43AM] Kar9k1ll3r used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:44AM] Kar9k1ll3r used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:45AM] Kar9k1ll3r used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:21PM] Kar9k1ll3r used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:24PM] Kar9k1ll3r used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:32PM] Kar9k1ll3r used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:33PM] Kar9k1ll3r used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:35PM] Kar9k1ll3r used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:55AM] Kar9k1ll3r used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:57AM] Kar9k1ll3r used command ::redeem 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:57AM] Kar9k1ll3r used command ::redeem 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:58AM] Kar9k1ll3r used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:58AM] Kar9k1ll3r used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:02PM] Kar9k1ll3r used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:32PM] Kar9k1ll3r used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:33PM] Kar9k1ll3r used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:34PM] Kar9k1ll3r used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:35PM] Kar9k1ll3r used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:44PM] Kar9k1ll3r used command ::vote | Player rights = GRACEFUL_DONATOR	
