[4/20/23 05:15AM] Bright used command ::train | Player rights = PLAYER	
[4/20/23 05:17AM] Bright used command ::refer | Player rights = PLAYER	
[4/20/23 05:20AM] Bright used command ::veigar | Player rights = PLAYER	
[4/20/23 05:21AM] Bright used command ::train | Player rights = PLAYER	
[4/20/23 05:28AM] Bright used command ::train | Player rights = PLAYER	
[4/20/23 05:35AM] Bright used command ::train | Player rights = PLAYER	
[4/20/23 05:41AM] Bright used command ::wr3cked | Player rights = PLAYER	
[4/20/23 05:49AM] Bright used command ::veigar | Player rights = PLAYER	
[4/20/23 05:52AM] Bright used command ::voteboss | Player rights = PLAYER	
[4/20/23 05:58AM] Bright used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:02AM] Bright used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:03AM] Bright used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:06AM] Bright used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:19AM] Bright used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:21AM] Bright used command ::goldenape | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:21AM] Bright used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:21AM] Bright used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:22AM] Bright used command ::golden' | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:22AM] Bright used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:25AM] Bright used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:27AM] Bright used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:28AM] Bright used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:33AM] Bright used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:49AM] Bright used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:47AM] Bright used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:48AM] Bright used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:48AM] Bright used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:49AM] Bright used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:52AM] Bright used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:55AM] Bright used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:19AM] Bright used command ::MERUEM | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:19AM] Bright used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:21AM] Bright used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:22AM] Bright used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:29AM] Bright used command ::yell buy coll neck 100k | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:39AM] Bright used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:49AM] Bright used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:13PM] Bright used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 12:17PM] Bright used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Bright used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:20PM] Bright used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Bright used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 12:22PM] Bright used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:49PM] Bright used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:11PM] Bright used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 01:19PM] Bright used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:20PM] Bright used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:21PM] Bright used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:25PM] Bright used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:32PM] Bright used command ::votboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:32PM] Bright used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:34PM] Bright used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:39PM] Bright used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 01:49PM] Bright used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:02AM] Bright used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:32AM] Bright used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:35AM] Bright used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 03:45AM] Bright used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:49AM] Bright used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 03:54AM] Bright used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 03:56AM] Bright used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 04:03AM] Bright used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:11AM] Bright used command ::voe | Player rights = CLERIC_DONATOR	
[4/21/23 04:11AM] Bright used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 04:12AM] Bright used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/21/23 04:13AM] Bright used command ::reward 1 1  | Player rights = CLERIC_DONATOR	
[4/21/23 04:13AM] Bright used command ::reward 1 1  | Player rights = CLERIC_DONATOR	
[4/21/23 04:13AM] Bright used command ::reward 1 1 | Player rights = CLERIC_DONATOR	
[4/21/23 04:13AM] Bright used command ::reward 1 1  | Player rights = CLERIC_DONATOR	
[4/21/23 04:13AM] Bright used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 04:15AM] Bright used command ::totem | Player rights = CLERIC_DONATOR	
[4/21/23 04:19AM] Bright used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 04:22AM] Bright used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 04:24AM] Bright used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 04:25AM] Bright used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 04:33AM] Bright used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:36AM] Bright used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 04:38AM] Bright used command ::mruem | Player rights = CLERIC_DONATOR	
[4/21/23 04:38AM] Bright used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 05:01AM] Bright used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 05:02AM] Bright used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 05:32AM] Bright used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 05:34AM] Bright used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 05:36AM] Bright used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 06:03AM] Bright used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:36AM] Bright used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 06:36AM] Bright used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 06:36AM] Bright used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 06:39AM] Bright used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 06:41AM] Bright used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 06:46AM] Bright used command ::perks | Player rights = CLERIC_DONATOR	
[4/21/23 06:55AM] Bright used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 07:02AM] Bright used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:14AM] Bright used command ::dr | Player rights = CLERIC_DONATOR	
