[4/23/23 07:00AM] Fiddle Stix used command ::refer | Player rights = PLAYER	
[4/23/23 07:01AM] Fiddle Stix used command ::bank | Player rights = PLAYER	
[4/23/23 07:01AM] Fiddle Stix used command ::bank | Player rights = PLAYER	
[4/23/23 07:03AM] Fiddle Stix used command ::veigar | Player rights = PLAYER	
[4/23/23 07:05AM] Fiddle Stix used command ::ninetails | Player rights = PLAYER	
[4/23/23 07:05AM] Fiddle Stix used command ::golden | Player rights = PLAYER	
[4/23/23 07:06AM] Fiddle Stix used command ::vboss | Player rights = PLAYER	
[4/23/23 07:08AM] Fiddle Stix used command ::pos | Player rights = PLAYER	
[4/23/23 07:08AM] Fiddle Stix used command ::pos | Player rights = PLAYER	
[4/23/23 07:11AM] Fiddle Stix used command ::teleport | Player rights = PLAYER	
[4/23/23 07:12AM] Fiddle Stix used command ::bank | Player rights = PLAYER	
[4/23/23 07:34AM] Fiddle Stix used command ::veigar | Player rights = PLAYER	
[4/23/23 07:38AM] Fiddle Stix used command ::ref walkcaos | Player rights = PLAYER	
[4/23/23 08:07AM] Fiddle Stix used command ::vboss | Player rights = PLAYER	
[4/23/23 08:18AM] Fiddle Stix used command ::bank | Player rights = PLAYER	
[4/23/23 09:04AM] Fiddle Stix used command ::veigar | Player rights = PLAYER	
[4/23/23 09:05AM] Fiddle Stix used command ::ninetails | Player rights = PLAYER	
