[4/18/23 05:37PM] Grimwhore used command ::refer | Player rights = PLAYER	
[4/18/23 05:41PM] Grimwhore used command ::veigar | Player rights = PLAYER	
[4/18/23 05:43PM] Grimwhore used command ::train | Player rights = PLAYER	
[4/18/23 06:05PM] Grimwhore used command ::pos\ | Player rights = PLAYER	
[4/18/23 06:11PM] Grimwhore used command ::veigar | Player rights = PLAYER	
[4/18/23 06:19PM] Grimwhore used command ::discord | Player rights = PLAYER	
[4/18/23 06:24PM] Grimwhore used command ::totem | Player rights = PLAYER	
[4/18/23 06:27PM] Grimwhore used command ::upgrade | Player rights = PLAYER	
[4/18/23 06:33PM] Grimwhore used command ::aoe | Player rights = PLAYER	
[4/18/23 06:35PM] Grimwhore used command ::Vote | Player rights = PLAYER	
[4/18/23 06:36PM] Grimwhore used command ::reward 1 | Player rights = PLAYER	
[4/18/23 06:36PM] Grimwhore used command ::reward 1 | Player rights = PLAYER	
[4/18/23 06:36PM] Grimwhore used command ::reward 1 | Player rights = PLAYER	
[4/18/23 06:36PM] Grimwhore used command ::reward 1 | Player rights = PLAYER	
[4/18/23 06:41PM] Grimwhore used command ::viegar | Player rights = PLAYER	
[4/18/23 06:41PM] Grimwhore used command ::veigar | Player rights = PLAYER	
[4/18/23 06:43PM] Grimwhore used command ::ninetails | Player rights = PLAYER	
[4/18/23 06:45PM] Grimwhore used command ::meruem | Player rights = PLAYER	
[4/18/23 06:48PM] Grimwhore used command ::reward 1 | Player rights = PLAYER	
[4/18/23 06:59PM] Grimwhore used command ::voteboss | Player rights = PLAYER	
[4/18/23 07:11PM] Grimwhore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:44PM] Grimwhore used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:44PM] Grimwhore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:44PM] Grimwhore used command ::nintails | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:44PM] Grimwhore used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:44PM] Grimwhore used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:41PM] Grimwhore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:43PM] Grimwhore used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:45PM] Grimwhore used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:16PM] Grimwhore used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:19PM] Grimwhore used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:21PM] Grimwhore used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:21PM] Grimwhore used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:21PM] Grimwhore used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:22PM] Grimwhore used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:23PM] Grimwhore used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:32PM] Grimwhore used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:32PM] Grimwhore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:34PM] Grimwhore used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:03PM] Grimwhore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/26/23 02:09AM] Grimwhore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/26/23 02:14AM] Grimwhore used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/26/23 02:17AM] Grimwhore used command ::home | Player rights = GRACEFUL_DONATOR	
[4/26/23 02:19AM] Grimwhore used command ::staff | Player rights = GRACEFUL_DONATOR	
[4/26/23 02:20AM] Grimwhore used command ::players | Player rights = GRACEFUL_DONATOR	
[4/26/23 02:21AM] Grimwhore used command ::raids | Player rights = GRACEFUL_DONATOR	
[4/26/23 02:21AM] Grimwhore used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/27/23 03:20PM] Grimwhore used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/27/23 03:22PM] Grimwhore used command ::reward 1 all  | Player rights = GRACEFUL_DONATOR	
[4/27/23 03:29PM] Grimwhore used command ::home | Player rights = GRACEFUL_DONATOR	
[4/27/23 03:35PM] Grimwhore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 03:36PM] Grimwhore used command ::home | Player rights = GRACEFUL_DONATOR	
[4/27/23 03:38PM] Grimwhore used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 03:39PM] Grimwhore used command ::home | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:01PM] Grimwhore used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:02PM] Grimwhore used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:02PM] Grimwhore used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:05PM] Grimwhore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:07PM] Grimwhore used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:08PM] Grimwhore used command ::raids | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:09PM] Grimwhore used command ::home | Player rights = GRACEFUL_DONATOR	
[4/27/23 05:04PM] Grimwhore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 05:04PM] Grimwhore used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/27/23 05:05PM] Grimwhore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 05:05PM] Grimwhore used command ::golden | Player rights = GRACEFUL_DONATOR	
