[4/15/23 07:10AM] Niels used command ::ref | Player rights = PLAYER	
[4/15/23 07:11AM] Niels used command ::Vote | Player rights = PLAYER	
[4/15/23 07:12AM] Niels used command ::reward 1 | Player rights = PLAYER	
[4/15/23 07:12AM] Niels used command ::donate | Player rights = PLAYER	
[4/15/23 07:15AM] Niels used command ::claim | Player rights = PLAYER	
[4/15/23 07:20AM] Niels used command ::donate | Player rights = CLERIC_DONATOR	
[4/15/23 07:40AM] Niels used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 07:52AM] Niels used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 07:52AM] Niels used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 07:52AM] Niels used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 07:52AM] Niels used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 07:53AM] Niels used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 07:53AM] Niels used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 07:58AM] Niels used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/15/23 08:00AM] Niels used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/15/23 08:01AM] Niels used command ::mereum | Player rights = MYSTICAL_DONATOR	
[4/15/23 08:02AM] Niels used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/15/23 08:03AM] Niels used command ::ape | Player rights = MYSTICAL_DONATOR	
[4/15/23 08:03AM] Niels used command ::ape | Player rights = MYSTICAL_DONATOR	
[4/15/23 08:09AM] Niels used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/15/23 08:11AM] Niels used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/15/23 08:22AM] Niels used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/15/23 08:23AM] Niels used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/15/23 08:28AM] Niels used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/15/23 08:29AM] Niels used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/15/23 08:37AM] Niels used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/15/23 08:53AM] Niels used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/15/23 09:58AM] Niels used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/15/23 10:28AM] Niels used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/15/23 10:28AM] Niels used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/15/23 10:30AM] Niels used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/15/23 10:59AM] Niels used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/15/23 11:28AM] Niels used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/15/23 11:29AM] Niels used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/15/23 11:30AM] Niels used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/15/23 11:58AM] Niels used command ::viegar | Player rights = MYSTICAL_DONATOR	
[4/15/23 11:58AM] Niels used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/15/23 12:18PM] Niels used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/15/23 12:19PM] Niels used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/15/23 12:28PM] Niels used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/15/23 12:29PM] Niels used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/15/23 12:30PM] Niels used command ::mereum | Player rights = MYSTICAL_DONATOR	
[4/15/23 12:30PM] Niels used command ::mereum | Player rights = MYSTICAL_DONATOR	
[4/15/23 12:30PM] Niels used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/15/23 12:45PM] Niels used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/15/23 12:58PM] Niels used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/15/23 01:02PM] Niels used command ::donate | Player rights = MYSTICAL_DONATOR	
[4/15/23 01:14PM] Niels used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/15/23 01:19PM] Niels used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/15/23 01:20PM] Niels used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/15/23 01:20PM] Niels used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/15/23 01:20PM] Niels used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/15/23 01:29PM] Niels used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/15/23 01:29PM] Niels used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/15/23 01:38PM] Niels used command ::totem | Player rights = MYSTICAL_DONATOR	
[4/15/23 01:46PM] Niels used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/15/23 01:58PM] Niels used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/15/23 02:02PM] Niels used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/15/23 02:08PM] Niels used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/15/23 02:10PM] Niels used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/15/23 02:28PM] Niels used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/15/23 02:29PM] Niels used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/15/23 02:29PM] Niels used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/15/23 02:31PM] Niels used command ::afk | Player rights = MYSTICAL_DONATOR	
[4/17/23 10:33AM] Niels used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/17/23 10:34AM] Niels used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/17/23 10:35AM] Niels used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/17/23 10:36AM] Niels used command ::kills | Player rights = MYSTICAL_DONATOR	
[4/17/23 10:36AM] Niels used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/17/23 10:36AM] Niels used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/17/23 10:37AM] Niels used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/17/23 11:02AM] Niels used command ::veigar | Player rights = MYSTICAL_DONATOR	
