[4/20/23 04:19PM] Voodoo used command ::veigar | Player rights = PLAYER	
[4/20/23 04:21PM] Voodoo used command ::bank | Player rights = PLAYER	
[4/20/23 04:27PM] Voodoo used command ::train | Player rights = PLAYER	
[4/20/23 04:32PM] Voodoo used command ::vote | Player rights = PLAYER	
[4/20/23 04:35PM] Voodoo used command ::reward 1 | Player rights = PLAYER	
[4/20/23 04:35PM] Voodoo used command ::Reward 1 | Player rights = PLAYER	
[4/20/23 04:35PM] Voodoo used command ::reward 1 | Player rights = PLAYER	
[4/20/23 04:36PM] Voodoo used command ::reward 1 | Player rights = PLAYER	
[4/20/23 04:44PM] Voodoo used command ::voteboss | Player rights = PLAYER	
[4/20/23 04:47PM] Voodoo used command ::Train | Player rights = PLAYER	
[4/20/23 04:49PM] Voodoo used command ::Veigar | Player rights = PLAYER	
[4/20/23 04:51PM] Voodoo used command ::train | Player rights = PLAYER	
[4/20/23 05:02PM] Voodoo used command ::bank | Player rights = PLAYER	
[4/20/23 05:02PM] Voodoo used command ::train | Player rights = PLAYER	
[4/20/23 05:12PM] Voodoo used command ::bank | Player rights = PLAYER	
[4/21/23 12:49AM] Voodoo used command ::Train | Player rights = PLAYER	
[4/21/23 12:49AM] Voodoo used command ::bank | Player rights = PLAYER	
[4/21/23 01:02AM] Voodoo used command ::Veigar | Player rights = PLAYER	
[4/21/23 01:10AM] Voodoo used command ::upgrade | Player rights = PLAYER	
[4/21/23 01:10AM] Voodoo used command ::upgrade | Player rights = PLAYER	
[4/22/23 02:56AM] Voodoo used command ::bank | Player rights = PLAYER	
[4/22/23 03:03AM] Voodoo used command ::auth  | Player rights = PLAYER	
[4/22/23 03:03AM] Voodoo used command ::auth  | Player rights = PLAYER	
[4/22/23 03:03AM] Voodoo used command ::veigar | Player rights = PLAYER	
[4/22/23 03:10AM] Voodoo used command ::bank | Player rights = PLAYER	
[4/22/23 03:10AM] Voodoo used command ::bank | Player rights = PLAYER	
[4/22/23 03:10AM] Voodoo used command ::bank | Player rights = PLAYER	
[4/22/23 03:10AM] Voodoo used command ::home | Player rights = PLAYER	
[4/22/23 03:32AM] Voodoo used command ::veigar | Player rights = PLAYER	
[4/22/23 04:53AM] Voodoo used command ::home | Player rights = PLAYER	
[4/22/23 04:54AM] Voodoo used command ::pos | Player rights = PLAYER	
[4/22/23 05:02AM] Voodoo used command ::veigar | Player rights = PLAYER	
[4/22/23 11:02AM] Voodoo used command ::veigar | Player rights = PLAYER	
[4/22/23 11:32AM] Voodoo used command ::veigar | Player rights = PLAYER	
[4/22/23 12:22PM] Voodoo used command ::vote | Player rights = PLAYER	
[4/22/23 12:24PM] Voodoo used command ::Reward 1 | Player rights = PLAYER	
[4/22/23 12:24PM] Voodoo used command ::Reward 1 | Player rights = PLAYER	
[4/22/23 12:24PM] Voodoo used command ::Reward 1 | Player rights = PLAYER	
[4/22/23 12:25PM] Voodoo used command ::bank | Player rights = PLAYER	
[4/22/23 12:32PM] Voodoo used command ::Veigar | Player rights = PLAYER	
[4/22/23 01:03PM] Voodoo used command ::veigar | Player rights = PLAYER	
[4/22/23 01:32PM] Voodoo used command ::Veigar | Player rights = PLAYER	
[4/22/23 02:03PM] Voodoo used command ::Veigar | Player rights = PLAYER	
[4/22/23 02:32PM] Voodoo used command ::meruem | Player rights = PLAYER	
[4/22/23 02:46PM] Voodoo used command ::perks | Player rights = PLAYER	
[4/22/23 02:54PM] Voodoo used command ::home | Player rights = PLAYER	
[4/22/23 03:03PM] Voodoo used command ::veigar | Player rights = PLAYER	
[4/22/23 03:04PM] Voodoo used command ::bank | Player rights = PLAYER	
[4/22/23 03:05PM] Voodoo used command ::home | Player rights = PLAYER	
[4/22/23 03:10PM] Voodoo used command ::home | Player rights = PLAYER	
[4/22/23 03:49PM] Voodoo used command ::ref | Player rights = PLAYER	
