[4/15/23 04:14AM] Killajeffa used command ::commands | Player rights = PLAYER	
[4/15/23 04:15AM] Killajeffa used command ::train | Player rights = PLAYER	
[4/15/23 04:27AM] Killajeffa used command ::totem | Player rights = PLAYER	
[4/15/23 04:29AM] Killajeffa used command ::train | Player rights = PLAYER	
[4/15/23 04:31AM] Killajeffa used command ::mereum | Player rights = PLAYER	
[4/15/23 04:32AM] Killajeffa used command ::train | Player rights = PLAYER	
[4/15/23 04:33AM] Killajeffa used command ::meruem | Player rights = PLAYER	
[4/15/23 04:35AM] Killajeffa used command ::referral | Player rights = PLAYER	
[4/15/23 04:37AM] Killajeffa used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:37AM] Killajeffa used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:37AM] Killajeffa used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:39AM] Killajeffa used command ::muruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:39AM] Killajeffa used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:43AM] Killajeffa used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:51AM] Killajeffa used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:52AM] Killajeffa used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:52AM] Killajeffa used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:53AM] Killajeffa used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:53AM] Killajeffa used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:54AM] Killajeffa used command ::mureum | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:54AM] Killajeffa used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:55AM] Killajeffa used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:55AM] Killajeffa used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:56AM] Killajeffa used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:00AM] Killajeffa used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:01AM] Killajeffa used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:02AM] Killajeffa used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:03AM] Killajeffa used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:48AM] Killajeffa used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:52AM] Killajeffa used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:52AM] Killajeffa used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:54AM] Killajeffa used command ::store | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:59AM] Killajeffa used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:01AM] Killajeffa used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:03AM] Killajeffa used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:14AM] Killajeffa used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:22AM] Killajeffa used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:28AM] Killajeffa used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:29AM] Killajeffa used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:30AM] Killajeffa used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:37AM] Killajeffa used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:37AM] Killajeffa used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:58AM] Killajeffa used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:01AM] Killajeffa used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:45AM] Killajeffa used command ::dropcollect | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:46AM] Killajeffa used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:46AM] Killajeffa used command ::dropmessage | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:46AM] Killajeffa used command ::dropmessage | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:46AM] Killajeffa used command ::toggledropmessage | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:29PM] Killajeffa used command ::veigar | Player rights = GRACEFUL_DONATOR	
