[4/15/23 09:14AM] Juggy used command ::home | Player rights = PLAYER	
[4/15/23 09:15AM] Juggy used command ::ref | Player rights = PLAYER	
[4/15/23 09:17AM] Juggy used command ::donate | Player rights = PLAYER	
[4/15/23 09:18AM] Juggy used command ::claim | Player rights = PLAYER	
[4/15/23 09:18AM] Juggy used command ::claim | Player rights = PLAYER	
[4/15/23 09:18AM] Juggy used command ::bank | Player rights = PLAYER	
[4/15/23 09:20AM] Juggy used command ::train | Player rights = PLAYER	
[4/15/23 09:28AM] Juggy used command ::home | Player rights = PLAYER	
[4/15/23 09:28AM] Juggy used command ::viegar | Player rights = PLAYER	
[4/15/23 09:29AM] Juggy used command ::veigar | Player rights = PLAYER	
[4/15/23 09:30AM] Juggy used command ::ape | Player rights = PLAYER	
[4/15/23 09:30AM] Juggy used command ::teleport | Player rights = PLAYER	
[4/15/23 09:30AM] Juggy used command ::ninetails | Player rights = PLAYER	
[4/15/23 09:31AM] Juggy used command ::golden | Player rights = PLAYER	
[4/15/23 09:32AM] Juggy used command ::vote | Player rights = PLAYER	
[4/15/23 09:33AM] Juggy used command ::reward 1 all | Player rights = PLAYER	
[4/15/23 09:33AM] Juggy used command ::home | Player rights = PLAYER	
[4/15/23 09:34AM] Juggy used command ::teleport | Player rights = PLAYER	
[4/15/23 09:34AM] Juggy used command ::teleport | Player rights = PLAYER	
[4/15/23 09:34AM] Juggy used command ::teleport | Player rights = PLAYER	
[4/15/23 09:34AM] Juggy used command ::teleport | Player rights = PLAYER	
[4/15/23 09:34AM] Juggy used command ::Tele | Player rights = PLAYER	
[4/15/23 09:35AM] Juggy used command ::npckills | Player rights = PLAYER	
[4/15/23 09:39AM] Juggy used command ::teleport | Player rights = PLAYER	
[4/15/23 09:56AM] Juggy used command ::home | Player rights = PLAYER	
