[4/16/23 04:20PM] Hets used command ::players | Player rights = PLAYER	
[4/16/23 04:20PM] Hets used command ::afk | Player rights = PLAYER	
[4/16/23 04:21PM] Hets used command ::shops | Player rights = PLAYER	
[4/16/23 04:21PM] Hets used command ::shop | Player rights = PLAYER	
[4/16/23 04:21PM] Hets used command ::shops | Player rights = PLAYER	
[4/16/23 04:21PM] Hets used command ::shoping | Player rights = PLAYER	
[4/16/23 04:23PM] Hets used command ::::gamble | Player rights = PLAYER	
[4/16/23 04:23PM] Hets used command ::gamble | Player rights = PLAYER	
[4/16/23 04:24PM] Hets used command ::shops | Player rights = PLAYER	
[4/16/23 04:24PM] Hets used command ::starter | Player rights = PLAYER	
[4/16/23 04:24PM] Hets used command ::refer | Player rights = PLAYER	
[4/16/23 04:24PM] Hets used command ::refer | Player rights = PLAYER	
[4/16/23 04:24PM] Hets used command ::refer | Player rights = PLAYER	
[4/16/23 04:24PM] Hets used command ::refer | Player rights = PLAYER	
