[4/15/23 07:53PM] Veraces used command ::voteboss | Player rights = PLAYER	
[4/15/23 07:58PM] Veraces used command ::vote | Player rights = PLAYER	
[4/15/23 07:59PM] Veraces used command ::reward 1 | Player rights = PLAYER	
[4/15/23 08:00PM] Veraces used command ::reward 1 | Player rights = PLAYER	
[4/15/23 08:29PM] Veraces used command ::ninetails | Player rights = PLAYER	
[4/15/23 08:29PM] Veraces used command ::veigar | Player rights = PLAYER	
[4/15/23 08:30PM] Veraces used command ::ninetails | Player rights = PLAYER	
[4/15/23 08:32PM] Veraces used command ::merium | Player rights = PLAYER	
[4/15/23 08:32PM] Veraces used command ::meruem | Player rights = PLAYER	
[4/15/23 08:58PM] Veraces used command ::veigar | Player rights = PLAYER	
[4/16/23 11:53AM] Veraces used command ::veigar | Player rights = PLAYER	
[4/16/23 07:23PM] Veraces used command ::veigar | Player rights = PLAYER	
[4/16/23 07:24PM] Veraces used command ::ninetails | Player rights = PLAYER	
[4/16/23 07:25PM] Veraces used command ::merium | Player rights = PLAYER	
[4/16/23 07:25PM] Veraces used command ::meruem | Player rights = PLAYER	
[4/17/23 02:41AM] Veraces used command ::ninetails | Player rights = PLAYER	
[4/17/23 10:34AM] Veraces used command ::ninetails | Player rights = PLAYER	
[4/17/23 10:34AM] Veraces used command ::meruem | Player rights = PLAYER	
[4/17/23 10:35AM] Veraces used command ::meruem | Player rights = PLAYER	
[4/17/23 10:35AM] Veraces used command ::meruem | Player rights = PLAYER	
[4/17/23 10:37AM] Veraces used command ::reff | Player rights = PLAYER	
[4/17/23 10:37AM] Veraces used command ::ref | Player rights = PLAYER	
[4/19/23 11:49PM] Veraces used command ::veigar | Player rights = PLAYER	
[4/19/23 11:52PM] Veraces used command ::reward 1 all | Player rights = PLAYER	
[4/19/23 11:54PM] Veraces used command ::voteboss | Player rights = PLAYER	
[4/20/23 02:49AM] Veraces used command ::veigar | Player rights = PLAYER	
[4/21/23 03:02PM] Veraces used command ::veigar | Player rights = PLAYER	
[4/21/23 03:04PM] Veraces used command ::vboss | Player rights = PLAYER	
[4/21/23 03:04PM] Veraces used command ::veigar | Player rights = PLAYER	
[4/21/23 03:06PM] Veraces used command ::vboss | Player rights = PLAYER	
[4/22/23 02:38PM] Veraces used command ::upgrade | Player rights = PLAYER	
