[4/15/23 05:07PM] Thiago used command ::Train | Player rights = PLAYER	
[4/15/23 05:29PM] Thiago used command ::veigar | Player rights = PLAYER	
[4/15/23 05:29PM] Thiago used command ::ninetails | Player rights = PLAYER	
[4/15/23 05:30PM] Thiago used command ::train | Player rights = PLAYER	
[4/15/23 05:57PM] Thiago used command ::ref | Player rights = PLAYER	
[4/15/23 05:59PM] Thiago used command ::veigar | Player rights = PLAYER	
[4/15/23 06:00PM] Thiago used command ::altars | Player rights = PLAYER	
[4/15/23 06:00PM] Thiago used command ::prayer | Player rights = PLAYER	
[4/15/23 06:00PM] Thiago used command ::home | Player rights = PLAYER	
[4/15/23 06:06PM] Thiago used command ::train | Player rights = PLAYER	
[4/15/23 06:21PM] Thiago used command ::vote | Player rights = PLAYER	
[4/15/23 06:23PM] Thiago used command ::reward 1 all | Player rights = PLAYER	
[4/15/23 06:28PM] Thiago used command ::veigar | Player rights = PLAYER	
[4/15/23 06:30PM] Thiago used command ::ninetails | Player rights = PLAYER	
[4/15/23 06:31PM] Thiago used command ::mereum | Player rights = PLAYER	
[4/15/23 06:31PM] Thiago used command ::mereum | Player rights = PLAYER	
[4/15/23 06:52PM] Thiago used command ::totem | Player rights = PLAYER	
[4/15/23 06:58PM] Thiago used command ::veigar | Player rights = PLAYER	
[4/15/23 07:28PM] Thiago used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:30PM] Thiago used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:45PM] Thiago used command ::discord | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:46PM] Thiago used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:51PM] Thiago used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:52PM] Thiago used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:58PM] Thiago used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:28PM] Thiago used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:30PM] Thiago used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:32PM] Thiago used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:33PM] Thiago used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:58PM] Thiago used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:29PM] Thiago used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:30PM] Thiago used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:31PM] Thiago used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:59PM] Thiago used command ::::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:59PM] Thiago used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:06PM] Thiago used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:12PM] Thiago used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:18PM] Thiago used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:28PM] Thiago used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29PM] Thiago used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:30PM] Thiago used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:31PM] Thiago used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:31PM] Thiago used command ::dropon | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:54PM] Thiago used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:58PM] Thiago used command ::discord | Player rights = CLERIC_DONATOR	
[4/15/23 11:29PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 11:29PM] Thiago used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 11:29PM] Thiago used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 11:43PM] Thiago used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/15/23 11:44PM] Thiago used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 12:53AM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:23AM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:28AM] Thiago used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 01:30AM] Thiago used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:51PM] Thiago used command ::store | Player rights = CLERIC_DONATOR	
[4/17/23 12:53PM] Thiago used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:53PM] Thiago used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:55PM] Thiago used command ::store | Player rights = CLERIC_DONATOR	
[4/17/23 12:57PM] Thiago used command ::claim | Player rights = CLERIC_DONATOR	
[4/17/23 12:57PM] Thiago used command ::redeem | Player rights = CLERIC_DONATOR	
[4/17/23 12:57PM] Thiago used command ::claim | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:18PM] Thiago used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 01:18PM] Thiago used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 01:18PM] Thiago used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 01:29PM] Thiago used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 01:30PM] Thiago used command ::reward 1 1 | Player rights = CLERIC_DONATOR	
[4/17/23 01:30PM] Thiago used command ::reward 1 1 | Player rights = CLERIC_DONATOR	
[4/17/23 01:31PM] Thiago used command ::reward 1 1 | Player rights = CLERIC_DONATOR	
[4/17/23 01:32PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Thiago used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Thiago used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 01:54PM] Thiago used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 01:59PM] Thiago used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 02:02PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:08PM] Thiago used command ::collection | Player rights = CLERIC_DONATOR	
[4/17/23 02:28PM] Thiago used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 02:32PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Thiago used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Thiago used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 02:59PM] Thiago used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 03:02PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:24PM] Thiago used command ::home | Player rights = CLERIC_DONATOR	
