[4/23/23 08:02AM] Elbow Beard used command ::ref | Player rights = PLAYER	
[4/23/23 08:04AM] Elbow Beard used command ::veigar | Player rights = PLAYER	
[4/23/23 08:06AM] Elbow Beard used command ::train | Player rights = PLAYER	
[4/23/23 08:10AM] Elbow Beard used command ::Starter | Player rights = PLAYER	
[4/23/23 08:12AM] Elbow Beard used command ::teleport | Player rights = PLAYER	
[4/23/23 08:17AM] Elbow Beard used command ::teleport | Player rights = PLAYER	
[4/23/23 08:19AM] Elbow Beard used command ::collection | Player rights = PLAYER	
[4/23/23 08:21AM] Elbow Beard used command ::collectioin | Player rights = PLAYER	
[4/23/23 08:21AM] Elbow Beard used command ::collecion | Player rights = PLAYER	
[4/23/23 08:21AM] Elbow Beard used command ::collections | Player rights = PLAYER	
[4/23/23 08:21AM] Elbow Beard used command ::collection | Player rights = PLAYER	
[4/23/23 08:22AM] Elbow Beard used command ::teleport | Player rights = PLAYER	
[4/23/23 08:27AM] Elbow Beard used command ::teleport | Player rights = PLAYER	
[4/23/23 08:29AM] Elbow Beard used command ::bank | Player rights = PLAYER	
[4/23/23 08:29AM] Elbow Beard used command ::bank | Player rights = PLAYER	
[4/23/23 08:31AM] Elbow Beard used command ::home | Player rights = PLAYER	
