[4/19/23 08:53PM] Daryl Dixon used command ::freedonator | Player rights = PLAYER	
[4/19/23 08:54PM] Daryl Dixon used command ::ref | Player rights = PLAYER	
[4/19/23 09:01PM] Daryl Dixon used command ::veigar | Player rights = PLAYER	
[4/19/23 09:01PM] Daryl Dixon used command ::bank | Player rights = PLAYER	
[4/19/23 09:01PM] Daryl Dixon used command ::veigar | Player rights = PLAYER	
[4/19/23 09:03PM] Daryl Dixon used command ::pos | Player rights = PLAYER	
[4/19/23 09:03PM] Daryl Dixon used command ::home | Player rights = PLAYER	
[4/19/23 09:03PM] Daryl Dixon used command ::pos | Player rights = PLAYER	
[4/19/23 09:20PM] Daryl Dixon used command ::veigar | Player rights = PLAYER	
[4/19/23 09:21PM] Daryl Dixon used command ::ninetails | Player rights = PLAYER	
[4/19/23 09:23PM] Daryl Dixon used command ::bank | Player rights = PLAYER	
[4/19/23 09:28PM] Daryl Dixon used command ::shops | Player rights = PLAYER	
[4/19/23 09:49PM] Daryl Dixon used command ::veigar | Player rights = PLAYER	
[4/19/23 10:32PM] Daryl Dixon used command ::donate | Player rights = PLAYER	
[4/20/23 12:19AM] Daryl Dixon used command ::bank | Player rights = PLAYER	
[4/20/23 12:19AM] Daryl Dixon used command ::veigar | Player rights = PLAYER	
[4/20/23 01:01AM] Daryl Dixon used command ::home | Player rights = PLAYER	
[4/20/23 01:14AM] Daryl Dixon used command ::home | Player rights = PLAYER	
[4/20/23 01:15AM] Daryl Dixon used command ::bank | Player rights = PLAYER	
[4/20/23 01:18AM] Daryl Dixon used command ::progression | Player rights = PLAYER	
[4/20/23 01:19AM] Daryl Dixon used command ::prog | Player rights = PLAYER	
[4/20/23 01:19AM] Daryl Dixon used command ::veigar | Player rights = PLAYER	
[4/20/23 01:23AM] Daryl Dixon used command ::meruem | Player rights = PLAYER	
[4/20/23 01:49AM] Daryl Dixon used command ::Veigar | Player rights = PLAYER	
[4/20/23 01:58AM] Daryl Dixon used command ::vote | Player rights = PLAYER	
[4/20/23 01:59AM] Daryl Dixon used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 02:00AM] Daryl Dixon used command ::vboss | Player rights = PLAYER	
[4/20/23 02:12AM] Daryl Dixon used command ::pos | Player rights = PLAYER	
[4/20/23 02:49AM] Daryl Dixon used command ::veigar | Player rights = PLAYER	
[4/20/23 03:18AM] Daryl Dixon used command ::veigar | Player rights = PLAYER	
[4/20/23 03:21AM] Daryl Dixon used command ::ninetails | Player rights = PLAYER	
[4/20/23 03:22AM] Daryl Dixon used command ::meruem | Player rights = PLAYER	
[4/20/23 03:24AM] Daryl Dixon used command ::gold | Player rights = PLAYER	
[4/20/23 03:24AM] Daryl Dixon used command ::golden | Player rights = PLAYER	
