[4/20/23 12:57PM] Exc used command ::refer wr3ckedyou | Player rights = PLAYER	
[4/20/23 01:05PM] Exc used command ::bank | Player rights = PLAYER	
[4/20/23 01:19PM] Exc used command ::veigar | Player rights = PLAYER	
[4/20/23 01:30PM] Exc used command ::vote | Player rights = PLAYER	
[4/20/23 01:31PM] Exc used command ::voteboss | Player rights = PLAYER	
[4/20/23 01:32PM] Exc used command ::claimvote | Player rights = PLAYER	
[4/20/23 01:32PM] Exc used command ::voted | Player rights = PLAYER	
[4/20/23 01:33PM] Exc used command ::reward 1 | Player rights = PLAYER	
[4/20/23 01:33PM] Exc used command ::reward 1 | Player rights = PLAYER	
[4/20/23 01:33PM] Exc used command ::reward 1 | Player rights = PLAYER	
[4/20/23 10:32PM] Exc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:34PM] Exc used command ::ninetales | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:34PM] Exc used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:35PM] Exc used command ::reward1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:36PM] Exc used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:49PM] Exc used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:03PM] Exc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:03AM] Exc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:20AM] Exc used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:23AM] Exc used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:33AM] Exc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:45AM] Exc used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:55AM] Exc used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:56AM] Exc used command ::thread 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:02AM] Exc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:32AM] Exc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:34AM] Exc used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:36AM] Exc used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:37AM] Exc used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:39AM] Exc used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:32AM] Exc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:34AM] Exc used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:34AM] Exc used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:49AM] Exc used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:53AM] Exc used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:32AM] Exc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:33AM] Exc used command ::ninetales  | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:33AM] Exc used command ::ninetales | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:34AM] Exc used command ::ninetales | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:34AM] Exc used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:22AM] Exc used command ::VEIGAR | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:25AM] Exc used command ::yellowape | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:25AM] Exc used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:26AM] Exc used command ::veigar | Player rights = GRACEFUL_DONATOR	
