[4/15/23 07:20PM] Sep used command ::Ref walkchaos | Player rights = PLAYER	
[4/15/23 07:29PM] Sep used command ::veigar | Player rights = PLAYER	
[4/15/23 07:50PM] Sep used command ::voteboss | Player rights = PLAYER	
[4/15/23 07:52PM] Sep used command ::voteboss | Player rights = PLAYER	
[4/15/23 07:53PM] Sep used command ::vote | Player rights = PLAYER	
[4/15/23 07:54PM] Sep used command ::reward 1 1 | Player rights = PLAYER	
[4/15/23 07:55PM] Sep used command ::reward 1 1 | Player rights = PLAYER	
[4/17/23 12:52PM] Sep used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:50PM] Sep used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:54PM] Sep used command ::reward 1 2 | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:02PM] Sep used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:32PM] Sep used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:02PM] Sep used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:32PM] Sep used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:02PM] Sep used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:11PM] Sep used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:46PM] Sep used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:48PM] Sep used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:13PM] Sep used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:14PM] Sep used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:14PM] Sep used command ::merue | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:14PM] Sep used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:14PM] Sep used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:15PM] Sep used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:15PM] Sep used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:43PM] Sep used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:13PM] Sep used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:15PM] Sep used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:16PM] Sep used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:17PM] Sep used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:18PM] Sep used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:21PM] Sep used command ::Pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:28PM] Sep used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 06:39PM] Sep used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 06:40PM] Sep used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 06:41PM] Sep used command :::Vote | Player rights = CLERIC_DONATOR	
[4/19/23 06:42PM] Sep used command ::reward 1 3 | Player rights = CLERIC_DONATOR	
[4/19/23 06:44PM] Sep used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 06:45PM] Sep used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:37PM] Sep used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:49PM] Sep used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:19PM] Sep used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:49PM] Sep used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 08:01PM] Sep used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 08:02PM] Sep used command ::ge | Player rights = CLERIC_DONATOR	
[4/23/23 08:02PM] Sep used command ::ge | Player rights = CLERIC_DONATOR	
[4/23/23 08:03PM] Sep used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 08:03PM] Sep used command ::pos | Player rights = CLERIC_DONATOR	
