[4/16/23 05:53AM] Trobi used command ::slayer imperial minigyn | Player rights = PLAYER	
[4/16/23 05:53AM] Trobi used command ::veigar | Player rights = PLAYER	
[4/16/23 05:56AM] Trobi used command ::train | Player rights = PLAYER	
[4/16/23 06:02AM] Trobi used command ::ref | Player rights = PLAYER	
[4/16/23 06:03AM] Trobi used command ::ref | Player rights = PLAYER	
[4/16/23 06:03AM] Trobi used command ::ref | Player rights = PLAYER	
[4/16/23 06:10AM] Trobi used command ::boss | Player rights = PLAYER	
[4/16/23 06:15AM] Trobi used command ::slayer | Player rights = PLAYER	
[4/16/23 06:16AM] Trobi used command ::eragons | Player rights = PLAYER	
[4/16/23 06:16AM] Trobi used command ::eragon | Player rights = PLAYER	
[4/16/23 06:17AM] Trobi used command ::slayer | Player rights = PLAYER	
[4/16/23 06:18AM] Trobi used command ::slayer | Player rights = PLAYER	
[4/16/23 06:23AM] Trobi used command ::veigar | Player rights = PLAYER	
[4/16/23 06:30AM] Trobi used command ::nicetails | Player rights = PLAYER	
[4/16/23 06:30AM] Trobi used command ::meruem | Player rights = PLAYER	
[4/16/23 06:40AM] Trobi used command ::train | Player rights = PLAYER	
[4/16/23 09:39AM] Trobi used command ::meruem | Player rights = PLAYER	
[4/16/23 09:42AM] Trobi used command ::veigar | Player rights = PLAYER	
[4/16/23 09:44AM] Trobi used command ::ninetails | Player rights = PLAYER	
[4/16/23 09:46AM] Trobi used command ::golden | Player rights = PLAYER	
[4/16/23 09:47AM] Trobi used command ::voteboss | Player rights = PLAYER	
[4/16/23 09:49AM] Trobi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Trobi used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:53AM] Trobi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:54AM] Trobi used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:07AM] Trobi used command ::cellection | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:10AM] Trobi used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:12AM] Trobi used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:13AM] Trobi used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:23AM] Trobi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:26AM] Trobi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:26AM] Trobi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:36AM] Trobi used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:36AM] Trobi used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:47AM] Trobi used command ::fpk | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:33AM] Trobi used command ::merk | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:33AM] Trobi used command ::fpk | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:53AM] Trobi used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:53AM] Trobi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:54AM] Trobi used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:55AM] Trobi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:56AM] Trobi used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:58AM] Trobi used command ::task | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:02PM] Trobi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:08PM] Trobi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:09PM] Trobi used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:09PM] Trobi used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:11PM] Trobi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:13PM] Trobi used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:15PM] Trobi used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Trobi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Trobi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] Trobi used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] Trobi used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:19PM] Trobi used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:28PM] Trobi used command ::slayer | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] Trobi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Trobi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Trobi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:40PM] Trobi used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 08:42AM] Trobi used command ::slayer | Player rights = CLERIC_DONATOR	
[4/18/23 08:43AM] Trobi used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 08:43AM] Trobi used command ::slayer | Player rights = CLERIC_DONATOR	
[4/18/23 08:54AM] Trobi used command ::slayert | Player rights = CLERIC_DONATOR	
[4/18/23 08:54AM] Trobi used command ::slayer | Player rights = CLERIC_DONATOR	
