[4/19/23 09:50AM] Jeff used command ::fps | Player rights = PLAYER	
[4/19/23 09:50AM] Jeff used command ::fps | Player rights = PLAYER	
[4/19/23 09:52AM] Jeff used command ::reffer | Player rights = PLAYER	
[4/19/23 09:52AM] Jeff used command ::reff | Player rights = PLAYER	
[4/19/23 09:52AM] Jeff used command ::ref | Player rights = PLAYER	
[4/19/23 10:13AM] Jeff used command ::viegar | Player rights = PLAYER	
[4/19/23 10:14AM] Jeff used command ::veigar | Player rights = PLAYER	
[4/19/23 10:19AM] Jeff used command ::bank | Player rights = PLAYER	
[4/19/23 10:22AM] Jeff used command ::pos | Player rights = PLAYER	
[4/19/23 10:44AM] Jeff used command ::veigar | Player rights = PLAYER	
[4/19/23 10:45AM] Jeff used command ::home | Player rights = PLAYER	
[4/19/23 10:48AM] Jeff used command ::donate | Player rights = PLAYER	
[4/19/23 10:51AM] Jeff used command ::claim | Player rights = PLAYER	
[4/19/23 10:52AM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:56AM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:59AM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:01AM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:02AM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:08AM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:12AM] Jeff used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:15AM] Jeff used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:15AM] Jeff used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:16AM] Jeff used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 11:17AM] Jeff used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 11:18AM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:19AM] Jeff used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 11:21AM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:30AM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:41AM] Jeff used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 11:43AM] Jeff used command ::viegar | Player rights = CLERIC_DONATOR	
[4/19/23 11:43AM] Jeff used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:44AM] Jeff used command ::ninetalis | Player rights = CLERIC_DONATOR	
[4/19/23 11:44AM] Jeff used command ::ninetials | Player rights = CLERIC_DONATOR	
[4/19/23 11:44AM] Jeff used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:45AM] Jeff used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 11:46AM] Jeff used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 11:47AM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:54AM] Jeff used command ::train | Player rights = CLERIC_DONATOR	
[4/19/23 12:13PM] Jeff used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:14PM] Jeff used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:14PM] Jeff used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:15PM] Jeff used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:15PM] Jeff used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 12:17PM] Jeff used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 12:18PM] Jeff used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 12:19PM] Jeff used command ::pos\ | Player rights = CLERIC_DONATOR	
[4/19/23 12:19PM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:34PM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:40PM] Jeff used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 12:43PM] Jeff used command ::Reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 12:43PM] Jeff used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:45PM] Jeff used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:45PM] Jeff used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 12:55PM] Jeff used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 01:13PM] Jeff used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:14PM] Jeff used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 01:15PM] Jeff used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 01:16PM] Jeff used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 01:19PM] Jeff used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 01:24PM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:32PM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:34PM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:37PM] Jeff used command ::Afkzone | Player rights = CLERIC_DONATOR	
[4/19/23 01:37PM] Jeff used command ::afk | Player rights = CLERIC_DONATOR	
[4/19/23 01:38PM] Jeff used command ::Afk | Player rights = CLERIC_DONATOR	
[4/19/23 01:38PM] Jeff used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 05:01AM] Jeff used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 05:33AM] Jeff used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 05:34AM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:37AM] Jeff used command ::wr3cked | Player rights = CLERIC_DONATOR	
[4/20/23 05:44AM] Jeff used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 05:47AM] Jeff used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 05:49AM] Jeff used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:53AM] Jeff used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 05:56AM] Jeff used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 05:58AM] Jeff used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:19AM] Jeff used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:21AM] Jeff used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:21AM] Jeff used command ::mydr | Player rights = CLERIC_DONATOR	
[4/20/23 06:22AM] Jeff used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:24AM] Jeff used command ::donate | Player rights = CLERIC_DONATOR	
[4/20/23 06:27AM] Jeff used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:27AM] Jeff used command ::claim | Player rights = CLERIC_DONATOR	
[4/20/23 06:27AM] Jeff used command ::claim | Player rights = CLERIC_DONATOR	
[4/20/23 06:29AM] Jeff used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:30AM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:32AM] Jeff used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:36AM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:39AM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:39AM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:44AM] Jeff used command ::yell pc super buu staff? :S | Player rights = CLERIC_DONATOR	
[4/20/23 06:49AM] Jeff used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:10AM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:11AM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:14AM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:17AM] Jeff used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 07:19AM] Jeff used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:21AM] Jeff used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 07:22AM] Jeff used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 07:23AM] Jeff used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 07:23AM] Jeff used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 07:24AM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:25AM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:26AM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:34AM] Jeff used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 08:14AM] Jeff used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:19AM] Jeff used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Jeff used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:20PM] Jeff used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Jeff used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Jeff used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 12:22PM] Jeff used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:49PM] Jeff used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:18PM] Jeff used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 10:14PM] Jeff used command ::afk | Player rights = CLERIC_DONATOR	
