[4/15/23 03:41PM] Loot used command ::ref | Player rights = PLAYER	
[4/15/23 03:43PM] Loot used command ::pray | Player rights = PLAYER	
[4/15/23 03:43PM] Loot used command ::bank | Player rights = PLAYER	
[4/15/23 03:44PM] Loot used command ::train | Player rights = PLAYER	
[4/15/23 03:46PM] Loot used command ::starte | Player rights = PLAYER	
[4/15/23 03:46PM] Loot used command ::starter | Player rights = PLAYER	
[4/15/23 03:47PM] Loot used command ::::train | Player rights = PLAYER	
[4/15/23 03:47PM] Loot used command ::train | Player rights = PLAYER	
[4/15/23 03:47PM] Loot used command ::bank | Player rights = PLAYER	
[4/15/23 03:48PM] Loot used command ::ref | Player rights = PLAYER	
[4/15/23 03:48PM] Loot used command ::claim | Player rights = PLAYER	
[4/15/23 03:49PM] Loot used command ::home | Player rights = PLAYER	
[4/15/23 03:51PM] Loot used command ::train | Player rights = PLAYER	
[4/15/23 03:51PM] Loot used command ::home | Player rights = PLAYER	
[4/15/23 03:52PM] Loot used command ::train | Player rights = PLAYER	
[4/15/23 03:54PM] Loot used command ::train | Player rights = PLAYER	
[4/15/23 03:55PM] Loot used command ::home | Player rights = PLAYER	
[4/15/23 03:55PM] Loot used command ::tra::Train | Player rights = PLAYER	
[4/15/23 03:55PM] Loot used command ::train | Player rights = PLAYER	
[4/15/23 04:03PM] Loot used command ::zones | Player rights = PLAYER	
[4/15/23 04:03PM] Loot used command ::zones | Player rights = PLAYER	
[4/15/23 04:03PM] Loot used command ::bank | Player rights = PLAYER	
[4/15/23 04:05PM] Loot used command ::afk | Player rights = PLAYER	
[4/15/23 04:06PM] Loot used command ::dropon | Player rights = PLAYER	
[4/15/23 04:14PM] Loot used command ::kc | Player rights = PLAYER	
[4/15/23 04:14PM] Loot used command ::mykc | Player rights = PLAYER	
[4/15/23 04:18PM] Loot used command ::zones | Player rights = PLAYER	
[4/15/23 04:19PM] Loot used command ::tasks | Player rights = PLAYER	
[4/15/23 04:20PM] Loot used command ::tasks | Player rights = PLAYER	
[4/15/23 04:22PM] Loot used command ::vote | Player rights = PLAYER	
[4/15/23 04:23PM] Loot used command ::voted | Player rights = PLAYER	
[4/15/23 04:23PM] Loot used command ::reward 1 all | Player rights = PLAYER	
[4/15/23 04:24PM] Loot used command ::pos | Player rights = PLAYER	
[4/15/23 04:26PM] Loot used command ::dr | Player rights = PLAYER	
[4/15/23 04:27PM] Loot used command ::tasks | Player rights = PLAYER	
[4/15/23 04:28PM] Loot used command ::veigar | Player rights = PLAYER	
[4/15/23 04:35PM] Loot used command ::golden | Player rights = PLAYER	
[4/15/23 04:37PM] Loot used command ::home | Player rights = PLAYER	
[4/15/23 04:58PM] Loot used command ::veigar | Player rights = PLAYER	
[4/15/23 05:42PM] Loot used command ::ref | Player rights = PLAYER	
[4/15/23 05:42PM] Loot used command ::shops | Player rights = PLAYER	
[4/15/23 05:42PM] Loot used command ::shops | Player rights = PLAYER	
[4/15/23 05:42PM] Loot used command ::shop | Player rights = PLAYER	
[4/15/23 05:42PM] Loot used command ::home | Player rights = PLAYER	
[4/15/23 05:45PM] Loot used command ::daily | Player rights = PLAYER	
[4/15/23 05:45PM] Loot used command ::seasonpass | Player rights = PLAYER	
[4/15/23 05:45PM] Loot used command ::bp | Player rights = PLAYER	
[4/15/23 05:47PM] Loot used command ::showdrops | Player rights = PLAYER	
[4/15/23 05:47PM] Loot used command ::dropson | Player rights = PLAYER	
[4/15/23 05:55PM] Loot used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:55PM] Loot used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:55PM] Loot used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:58PM] Loot used command ::vegiar | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:59PM] Loot used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:06PM] Loot used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:32AM] Loot used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:33AM] Loot used command ::::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:33AM] Loot used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:35AM] Loot used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:41AM] Loot used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:46AM] Loot used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:47AM] Loot used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:53AM] Loot used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:54AM] Loot used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:57AM] Loot used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:58AM] Loot used command ::Ref | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:58AM] Loot used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:58AM] Loot used command ::donated | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:58AM] Loot used command ::Voted | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:10AM] Loot used command ::voteboss | Player rights = GRACEFUL_DONATOR	
