[4/22/23 02:14PM] Acid used command ::train | Player rights = PLAYER	
[4/22/23 02:15PM] Acid used command ::vote | Player rights = PLAYER	
[4/22/23 02:33PM] Acid used command ::train | Player rights = PLAYER	
[4/22/23 02:42PM] Acid used command ::home | Player rights = PLAYER	
[4/22/23 02:43PM] Acid used command ::train | Player rights = PLAYER	
[4/22/23 04:31PM] Acid used command ::reward 1 all | Player rights = PLAYER	
[4/22/23 04:33PM] Acid used command ::home | Player rights = PLAYER	
[4/22/23 04:34PM] Acid used command ::train | Player rights = PLAYER	
[4/22/23 04:34PM] Acid used command ::home | Player rights = PLAYER	
[4/22/23 04:35PM] Acid used command ::mereum | Player rights = PLAYER	
[4/22/23 04:35PM] Acid used command ::meruem | Player rights = PLAYER	
[4/22/23 04:35PM] Acid used command ::home | Player rights = PLAYER	
[4/22/23 04:36PM] Acid used command ::voteboss | Player rights = PLAYER	
[4/22/23 04:37PM] Acid used command ::home | Player rights = PLAYER	
[4/22/23 04:37PM] Acid used command ::voteboss | Player rights = PLAYER	
[4/22/23 04:38PM] Acid used command ::home | Player rights = PLAYER	
[4/22/23 04:40PM] Acid used command ::home | Player rights = PLAYER	
[4/22/23 04:55PM] Acid used command ::train | Player rights = PLAYER	
[4/22/23 05:02PM] Acid used command ::veigar | Player rights = PLAYER	
[4/22/23 05:04PM] Acid used command ::home | Player rights = PLAYER	
