[4/17/23 03:13AM] Chibi used command ::train | Player rights = PLAYER	
[4/17/23 03:14AM] Chibi used command ::train | Player rights = PLAYER	
[4/17/23 03:18AM] Chibi used command ::train | Player rights = PLAYER	
[4/17/23 03:20AM] Chibi used command ::referral | Player rights = PLAYER	
[4/17/23 03:22AM] Chibi used command ::train | Player rights = PLAYER	
[4/17/23 04:04AM] Chibi used command ::bank | Player rights = PLAYER	
[4/17/23 04:28AM] Chibi used command ::progression | Player rights = PLAYER	
[4/17/23 04:31AM] Chibi used command ::train | Player rights = PLAYER	
[4/17/23 04:39AM] Chibi used command ::veigar | Player rights = PLAYER	
[4/17/23 05:08AM] Chibi used command ::totem | Player rights = PLAYER	
[4/17/23 05:10AM] Chibi used command ::veigar | Player rights = PLAYER	
[4/17/23 05:10AM] Chibi used command ::pos | Player rights = PLAYER	
[4/17/23 05:40AM] Chibi used command ::veigar | Player rights = PLAYER	
[4/17/23 05:41AM] Chibi used command ::ninetails | Player rights = PLAYER	
[4/17/23 05:42AM] Chibi used command ::meruem | Player rights = PLAYER	
[4/17/23 01:54PM] Chibi used command ::vote | Player rights = PLAYER	
[4/17/23 01:56PM] Chibi used command ::altar | Player rights = PLAYER	
[4/17/23 01:56PM] Chibi used command ::edge | Player rights = PLAYER	
[4/17/23 01:57PM] Chibi used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 02:00PM] Chibi used command ::tasks | Player rights = PLAYER	
[4/17/23 02:02PM] Chibi used command ::veigar | Player rights = PLAYER	
[4/17/23 02:03PM] Chibi used command ::ninetails | Player rights = PLAYER	
[4/17/23 02:03PM] Chibi used command ::voteboss | Player rights = PLAYER	
[4/17/23 02:31PM] Chibi used command ::perks | Player rights = PLAYER	
[4/17/23 02:32PM] Chibi used command ::veigar | Player rights = PLAYER	
