[4/15/23 07:32PM] Guitar used command ::donate | Player rights = PLAYER	
[4/15/23 07:44PM] Guitar used command ::vote | Player rights = PLAYER	
[4/15/23 07:44PM] Guitar used command ::reward 1 all | Player rights = PLAYER	
[4/15/23 07:45PM] Guitar used command ::donate | Player rights = PLAYER	
[4/15/23 07:47PM] Guitar used command ::upgrade | Player rights = PLAYER	
[4/15/23 07:47PM] Guitar used command ::forge | Player rights = PLAYER	
[4/15/23 07:47PM] Guitar used command ::upgrades | Player rights = PLAYER	
[4/15/23 07:47PM] Guitar used command ::home | Player rights = PLAYER	
[4/15/23 07:49PM] Guitar used command ::vboss | Player rights = PLAYER	
[4/15/23 07:52PM] Guitar used command ::vboss | Player rights = PLAYER	
[4/15/23 07:53PM] Guitar used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:58PM] Guitar used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:59PM] Guitar used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:01PM] Guitar used command ::ref walkchaos | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:01PM] Guitar used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:01PM] Guitar used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:02PM] Guitar used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:04PM] Guitar used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:28PM] Guitar used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:30PM] Guitar used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:32PM] Guitar used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:36PM] Guitar used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:36PM] Guitar used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:37PM] Guitar used command ::skilling | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:37PM] Guitar used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:38PM] Guitar used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:28PM] Guitar used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29PM] Guitar used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:30PM] Guitar used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:31PM] Guitar used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:38PM] Guitar used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:38PM] Guitar used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:38PM] Guitar used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:54PM] Guitar used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:56PM] Guitar used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:04PM] Guitar used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:07PM] Guitar used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:08PM] Guitar used command ::ninetail | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:08PM] Guitar used command ::ninetail | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:08PM] Guitar used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:09PM] Guitar used command ::meruem | Player rights = GRACEFUL_DONATOR	
