[4/20/23 02:46AM] Anubis used command ::refer | Player rights = PLAYER	
[4/20/23 02:46AM] Anubis used command ::refer | Player rights = PLAYER	
[4/20/23 03:27AM] Anubis used command ::voteboss | Player rights = PLAYER	
[4/20/23 03:27AM] Anubis used command ::voteboss | Player rights = PLAYER	
[4/20/23 03:49AM] Anubis used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:10AM] Anubis used command ::dzone | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:41AM] Anubis used command ::wr3cked | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:45AM] Anubis used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:46AM] Anubis used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:50AM] Anubis used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:52AM] Anubis used command ::vbos | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:52AM] Anubis used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:22AM] Anubis used command ::ninetales | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:22AM] Anubis used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:22AM] Anubis used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:23AM] Anubis used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:24AM] Anubis used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:24AM] Anubis used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:27AM] Anubis used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:28AM] Anubis used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:32AM] Anubis used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:39AM] Anubis used command ::benefits | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:40AM] Anubis used command ::donorbenefits | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:49AM] Anubis used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:53AM] Anubis used command ::wevent | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:54AM] Anubis used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:18AM] Anubis used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:21AM] Anubis used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:24AM] Anubis used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:24AM] Anubis used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:34AM] Anubis used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:39AM] Anubis used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:40AM] Anubis used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:49AM] Anubis used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:24PM] Anubis used command ::yell 2 | Player rights = CLERIC_DONATOR	
