[4/16/23 01:28AM] Don Diego used command ::ref | Player rights = PLAYER	
[4/16/23 01:28AM] Don Diego used command ::ref | Player rights = PLAYER	
[4/16/23 02:58AM] Don Diego used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 02:58AM] Don Diego used command ::dailytask | Player rights = PLAYER	
[4/16/23 02:58AM] Don Diego used command ::dailytasks | Player rights = PLAYER	
[4/16/23 03:32AM] Don Diego used command ::vobss | Player rights = PLAYER	
[4/16/23 03:32AM] Don Diego used command ::vboss | Player rights = PLAYER	
[4/16/23 04:43AM] Don Diego used command ::veigar | Player rights = PLAYER	
[4/16/23 04:47AM] Don Diego used command ::ninetails | Player rights = PLAYER	
[4/16/23 04:48AM] Don Diego used command ::meruem | Player rights = PLAYER	
[4/16/23 04:48AM] Don Diego used command ::golden | Player rights = PLAYER	
[4/16/23 04:53AM] Don Diego used command ::veigar | Player rights = PLAYER	
[4/16/23 04:55AM] Don Diego used command ::veigar | Player rights = PLAYER	
[4/16/23 05:04AM] Don Diego used command ::oldhome | Player rights = PLAYER	
[4/16/23 05:04AM] Don Diego used command ::home2 | Player rights = PLAYER	
[4/16/23 05:05AM] Don Diego used command ::afk | Player rights = PLAYER	
[4/16/23 05:05AM] Don Diego used command ::shops | Player rights = PLAYER	
[4/16/23 05:06AM] Don Diego used command ::sacred | Player rights = PLAYER	
[4/16/23 05:15AM] Don Diego used command ::veigar | Player rights = PLAYER	
[4/16/23 05:25AM] Don Diego used command ::ninetails | Player rights = PLAYER	
[4/16/23 05:26AM] Don Diego used command ::meruem | Player rights = PLAYER	
[4/16/23 05:28AM] Don Diego used command ::golden | Player rights = PLAYER	
[4/16/23 05:29AM] Don Diego used command ::golden | Player rights = PLAYER	
[4/16/23 05:29AM] Don Diego used command ::golden | Player rights = PLAYER	
[4/16/23 05:53AM] Don Diego used command ::veigar | Player rights = PLAYER	
[4/17/23 09:58PM] Don Diego used command ::ninetails | Player rights = PLAYER	
[4/18/23 12:21AM] Don Diego used command ::junk | Player rights = PLAYER	
[4/18/23 12:21AM] Don Diego used command ::junks | Player rights = PLAYER	
[4/18/23 12:27AM] Don Diego used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 12:28AM] Don Diego used command ::afk | Player rights = PLAYER	
[4/18/23 12:40AM] Don Diego used command ::Veigar | Player rights = PLAYER	
[4/18/23 12:42AM] Don Diego used command ::nincetails | Player rights = PLAYER	
[4/18/23 12:42AM] Don Diego used command ::ninetails | Player rights = PLAYER	
[4/18/23 12:42AM] Don Diego used command ::meruem | Player rights = PLAYER	
[4/18/23 12:44AM] Don Diego used command ::vboss | Player rights = PLAYER	
[4/18/23 12:44AM] Don Diego used command ::vboss | Player rights = PLAYER	
[4/18/23 02:40AM] Don Diego used command ::Vboss | Player rights = PLAYER	
[4/18/23 02:41AM] Don Diego used command ::veigar | Player rights = PLAYER	
[4/18/23 02:42AM] Don Diego used command ::ninetails | Player rights = PLAYER	
[4/18/23 02:42AM] Don Diego used command ::meruem::Vboss | Player rights = PLAYER	
[4/18/23 02:42AM] Don Diego used command ::Vboss | Player rights = PLAYER	
[4/18/23 02:43AM] Don Diego used command ::meruem | Player rights = PLAYER	
[4/18/23 03:42AM] Don Diego used command ::veiogar | Player rights = PLAYER	
[4/18/23 03:42AM] Don Diego used command ::Veigar | Player rights = PLAYER	
[4/18/23 03:42AM] Don Diego used command ::ninetails | Player rights = PLAYER	
[4/18/23 04:39AM] Don Diego used command ::veigar | Player rights = PLAYER	
[4/18/23 04:42AM] Don Diego used command ::ninetails | Player rights = PLAYER	
[4/18/23 04:43AM] Don Diego used command ::meruem | Player rights = PLAYER	
[4/18/23 04:44AM] Don Diego used command ::golden | Player rights = PLAYER	
