[4/19/23 01:28PM] Fissker used command ::reffer | Player rights = PLAYER	
[4/19/23 01:28PM] Fissker used command ::reff | Player rights = PLAYER	
[4/19/23 01:28PM] Fissker used command ::ref | Player rights = PLAYER	
[4/19/23 01:29PM] Fissker used command ::train | Player rights = PLAYER	
[4/19/23 01:34PM] Fissker used command ::bank | Player rights = PLAYER	
[4/19/23 01:36PM] Fissker used command ::upgrade | Player rights = PLAYER	
[4/19/23 01:39PM] Fissker used command ::vote | Player rights = PLAYER	
[4/19/23 01:40PM] Fissker used command ::reward 1 | Player rights = PLAYER	
[4/19/23 01:40PM] Fissker used command ::reward 1 | Player rights = PLAYER	
[4/19/23 01:40PM] Fissker used command ::rexa | Player rights = PLAYER	
[4/19/23 01:40PM] Fissker used command ::reward 1 | Player rights = PLAYER	
[4/19/23 01:40PM] Fissker used command ::reward 1 | Player rights = PLAYER	
[4/19/23 01:41PM] Fissker used command ::pos | Player rights = PLAYER	
[4/19/23 01:41PM] Fissker used command ::pos | Player rights = PLAYER	
[4/19/23 01:42PM] Fissker used command ::forge | Player rights = PLAYER	
[4/19/23 01:42PM] Fissker used command ::forge | Player rights = PLAYER	
[4/19/23 01:42PM] Fissker used command ::commands | Player rights = PLAYER	
[4/19/23 01:42PM] Fissker used command ::upgrade | Player rights = PLAYER	
[4/19/23 01:44PM] Fissker used command ::veiga | Player rights = PLAYER	
[4/19/23 01:44PM] Fissker used command ::veigar | Player rights = PLAYER	
[4/19/23 01:45PM] Fissker used command ::guide | Player rights = PLAYER	
[4/19/23 01:46PM] Fissker used command ::pos | Player rights = PLAYER	
[4/19/23 01:50PM] Fissker used command ::store | Player rights = PLAYER	
[4/19/23 01:59PM] Fissker used command ::pos | Player rights = PLAYER	
[4/20/23 04:10AM] Fissker used command ::vote | Player rights = PLAYER	
[4/20/23 04:11AM] Fissker used command ::reward 1 | Player rights = PLAYER	
[4/20/23 04:11AM] Fissker used command ::reward 1 | Player rights = PLAYER	
[4/20/23 04:11AM] Fissker used command ::reward 1 | Player rights = PLAYER	
[4/20/23 04:12AM] Fissker used command ::pos | Player rights = PLAYER	
[4/20/23 04:19AM] Fissker used command ::veigar | Player rights = PLAYER	
[4/20/23 04:22AM] Fissker used command ::home | Player rights = PLAYER	
[4/20/23 04:22AM] Fissker used command ::ninetails | Player rights = PLAYER	
[4/20/23 04:39AM] Fissker used command ::mydr | Player rights = PLAYER	
[4/20/23 04:49AM] Fissker used command ::veigar | Player rights = PLAYER	
[4/20/23 05:16AM] Fissker used command ::store | Player rights = PLAYER	
[4/20/23 05:19AM] Fissker used command ::veiar | Player rights = PLAYER	
[4/20/23 05:19AM] Fissker used command ::veigar | Player rights = PLAYER	
[4/20/23 05:23AM] Fissker used command ::meruem | Player rights = PLAYER	
[4/20/23 05:25AM] Fissker used command ::golden | Player rights = PLAYER	
[4/20/23 05:27AM] Fissker used command ::mydr | Player rights = PLAYER	
[4/20/23 05:36AM] Fissker used command ::pos | Player rights = GRACEFUL_DONATOR	
