[4/15/23 04:11PM] Lugia used command ::Afk | Player rights = PLAYER	
[4/15/23 04:13PM] Lugia used command ::Afk | Player rights = PLAYER	
[4/15/23 04:58PM] Lugia used command ::afk | Player rights = PLAYER	
[4/15/23 05:20PM] Lugia used command ::afk | Player rights = PLAYER	
[4/16/23 07:24AM] Lugia used command ::afk | Player rights = PLAYER	
[4/23/23 08:43AM] Lugia used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 09:04AM] Lugia used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 09:05AM] Lugia used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 09:26AM] Lugia used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/23/23 09:26AM] Lugia used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 09:39AM] Lugia used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 09:41AM] Lugia used command ::Dropoff | Player rights = CLERIC_DONATOR	
[4/23/23 09:42AM] Lugia used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/23/23 09:44AM] Lugia used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/23/23 10:11AM] Lugia used command ::Dropoff | Player rights = CLERIC_DONATOR	
[4/23/23 10:11AM] Lugia used command ::Dropoff | Player rights = CLERIC_DONATOR	
[4/23/23 10:24AM] Lugia used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 10:53AM] Lugia used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 10:55AM] Lugia used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 10:55AM] Lugia used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 10:55AM] Lugia used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 11:24AM] Lugia used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 11:43AM] Lugia used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 11:54AM] Lugia used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 12:00PM] Lugia used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 12:05PM] Lugia used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 12:09PM] Lugia used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/23/23 12:34PM] Lugia used command ::Golden | Player rights = CLERIC_DONATOR	
