[4/22/23 03:54AM] Scratch Max used command ::Pkmax | Player rights = PLAYER	
[4/22/23 03:54AM] Scratch Max used command ::ipkmaxjr | Player rights = PLAYER	
[4/22/23 03:54AM] Scratch Max used command ::Max | Player rights = PLAYER	
[4/22/23 04:22AM] Scratch Max used command ::vote | Player rights = PLAYER	
[4/22/23 04:24AM] Scratch Max used command ::claim | Player rights = PLAYER	
[4/22/23 04:25AM] Scratch Max used command ::voted | Player rights = PLAYER	
[4/22/23 04:25AM] Scratch Max used command ::claimvote | Player rights = PLAYER	
[4/22/23 04:25AM] Scratch Max used command ::reward 1 all | Player rights = PLAYER	
[4/26/23 07:56AM] Scratch Max used command ::ref | Player rights = PLAYER	
[4/26/23 08:02AM] Scratch Max used command ::starter | Player rights = PLAYER	
[4/26/23 08:05AM] Scratch Max used command ::veigar | Player rights = PLAYER	
[4/26/23 08:35AM] Scratch Max used command ::veigar | Player rights = PLAYER	
[4/26/23 08:37AM] Scratch Max used command ::tp | Player rights = PLAYER	
