[4/19/23 08:09AM] Mave used command ::ref | Player rights = PLAYER	
[4/19/23 11:40AM] Mave used command ::Train | Player rights = PLAYER	
[4/19/23 11:42AM] Mave used command ::train | Player rights = PLAYER	
[4/19/23 11:42AM] Mave used command ::ninetails | Player rights = PLAYER	
[4/19/23 11:42AM] Mave used command ::veigar | Player rights = PLAYER	
[4/19/23 11:42AM] Mave used command ::store | Player rights = PLAYER	
[4/19/23 11:44AM] Mave used command ::ninetails | Player rights = PLAYER	
[4/19/23 11:45AM] Mave used command ::meruem | Player rights = PLAYER	
[4/19/23 11:45AM] Mave used command ::discord | Player rights = PLAYER	
[4/19/23 11:46AM] Mave used command ::golden | Player rights = PLAYER	
[4/19/23 11:47AM] Mave used command ::train | Player rights = PLAYER	
[4/19/23 11:48AM] Mave used command ::pos | Player rights = PLAYER	
[4/19/23 11:48AM] Mave used command ::home | Player rights = PLAYER	
[4/19/23 11:48AM] Mave used command ::pos | Player rights = PLAYER	
[4/19/23 11:48AM] Mave used command ::pos | Player rights = PLAYER	
[4/19/23 11:48AM] Mave used command ::home | Player rights = PLAYER	
[4/19/23 11:48AM] Mave used command ::pos | Player rights = PLAYER	
[4/19/23 11:50AM] Mave used command ::train | Player rights = PLAYER	
[4/19/23 11:50AM] Mave used command ::home | Player rights = PLAYER	
[4/19/23 11:56AM] Mave used command ::curses | Player rights = PLAYER	
[4/19/23 11:56AM] Mave used command ::curses | Player rights = PLAYER	
[4/19/23 12:00PM] Mave used command ::Trian | Player rights = PLAYER	
[4/19/23 12:00PM] Mave used command ::Train | Player rights = PLAYER	
[4/19/23 12:00PM] Mave used command ::prayer | Player rights = PLAYER	
[4/19/23 12:05PM] Mave used command ::bank | Player rights = PLAYER	
[4/19/23 12:05PM] Mave used command ::bank | Player rights = PLAYER	
[4/19/23 12:13PM] Mave used command ::veigar | Player rights = PLAYER	
[4/19/23 12:15PM] Mave used command ::Vboss | Player rights = PLAYER	
[4/19/23 12:16PM] Mave used command ::train | Player rights = PLAYER	
[4/19/23 12:16PM] Mave used command ::ninetails | Player rights = PLAYER	
[4/19/23 12:17PM] Mave used command ::meruem | Player rights = PLAYER	
[4/19/23 12:17PM] Mave used command ::globals | Player rights = PLAYER	
[4/19/23 12:18PM] Mave used command ::golden | Player rights = PLAYER	
[4/19/23 12:19PM] Mave used command ::train | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:25PM] Mave used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:57AM] Mave used command ::Store | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:17AM] Mave used command ::home | Player rights = GRACEFUL_DONATOR	
