[4/17/23 11:36AM] Shockr used command ::home | Player rights = PLAYER	
[4/17/23 11:37AM] Shockr used command ::ref fpk merk | Player rights = PLAYER	
[4/17/23 11:40AM] Shockr used command ::train | Player rights = PLAYER	
[4/17/23 11:41AM] Shockr used command ::train | Player rights = PLAYER	
[4/17/23 11:42AM] Shockr used command ::home | Player rights = PLAYER	
[4/17/23 11:42AM] Shockr used command ::Train | Player rights = PLAYER	
[4/17/23 11:43AM] Shockr used command ::traiN | Player rights = PLAYER	
[4/17/23 11:45AM] Shockr used command ::Train | Player rights = PLAYER	
[4/17/23 11:46AM] Shockr used command ::donate | Player rights = PLAYER	
[4/17/23 11:48AM] Shockr used command ::train | Player rights = PLAYER	
[4/17/23 11:52AM] Shockr used command ::meruem | Player rights = PLAYER	
[4/17/23 11:54AM] Shockr used command ::vboss | Player rights = PLAYER	
[4/17/23 11:54AM] Shockr used command ::upgrade | Player rights = PLAYER	
[4/17/23 11:54AM] Shockr used command ::golden | Player rights = PLAYER	
[4/17/23 11:55AM] Shockr used command ::veigar | Player rights = PLAYER	
[4/17/23 11:56AM] Shockr used command ::voteboss | Player rights = PLAYER	
[4/17/23 12:02PM] Shockr used command ::veigart | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:02PM] Shockr used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:07PM] Shockr used command ::Yell 99 online!!!!!!!!!!!! | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:08PM] Shockr used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:09PM] Shockr used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:10PM] Shockr used command ::Bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:11PM] Shockr used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:12PM] Shockr used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:15PM] Shockr used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:16PM] Shockr used command ::hideall | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:16PM] Shockr used command ::hide | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Shockr used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Shockr used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] Shockr used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] Shockr used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:19PM] Shockr used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:20PM] Shockr used command ::Yell please add hide command loc | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:32PM] Shockr used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:32PM] Shockr used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:33PM] Shockr used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:33PM] Shockr used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:34PM] Shockr used command ::Yell selling $25 bond, good items | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:34PM] Shockr used command ::Yell for good items i mean | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:41PM] Shockr used command ::donate | Player rights = CLERIC_DONATOR	
[4/17/23 12:48PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:48PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:49PM] Shockr used command ::upg | Player rights = CLERIC_DONATOR	
[4/17/23 12:49PM] Shockr used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/17/23 12:53PM] Shockr used command ::Yell buying ex bow 500k | Player rights = CLERIC_DONATOR	
[4/17/23 12:54PM] Shockr used command ::yell buying ex bow 500k | Player rights = CLERIC_DONATOR	
[4/17/23 12:59PM] Shockr used command ::czone | Player rights = CLERIC_DONATOR	
[4/17/23 12:59PM] Shockr used command ::Dzone | Player rights = CLERIC_DONATOR	
[4/17/23 12:59PM] Shockr used command ::Yell buying exe bow, 525k | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Shockr used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:03PM] Shockr used command ::Yell buying exe bow, 550k | Player rights = CLERIC_DONATOR	
[4/17/23 01:04PM] Shockr used command ::donate | Player rights = CLERIC_DONATOR	
[4/17/23 01:20PM] Shockr used command ::Yell buying exe bow 550k | Player rights = CLERIC_DONATOR	
[4/17/23 01:21PM] Shockr used command ::Shops | Player rights = CLERIC_DONATOR	
[4/17/23 01:21PM] Shockr used command ::market | Player rights = CLERIC_DONATOR	
[4/17/23 01:22PM] Shockr used command ::Yell buying exe bow 550k | Player rights = CLERIC_DONATOR	
[4/17/23 06:59PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 06:59PM] Shockr used command ::Yell buying exe bow 525k!!!! | Player rights = CLERIC_DONATOR	
[4/17/23 07:02PM] Shockr used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:05PM] Shockr used command ::store | Player rights = CLERIC_DONATOR	
[4/17/23 07:08PM] Shockr used command ::dropsoff | Player rights = CLERIC_DONATOR	
[4/17/23 08:44PM] Shockr used command ::yell buying exe bow | Player rights = CLERIC_DONATOR	
[4/17/23 08:44PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:52PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:58PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:59PM] Shockr used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:59PM] Shockr used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 09:00PM] Shockr used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 09:00PM] Shockr used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 09:01PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 09:03PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 10:22PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:55AM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:11PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:11PM] Shockr used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:12PM] Shockr used command ::store | Player rights = CLERIC_DONATOR	
[4/18/23 05:21PM] Shockr used command ::kc | Player rights = CLERIC_DONATOR	
[4/18/23 05:28PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:29PM] Shockr used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 05:29PM] Shockr used command ::Vote | Player rights = CLERIC_DONATOR	
[4/18/23 05:32PM] Shockr used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 05:35PM] Shockr used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 05:37PM] Shockr used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 05:41PM] Shockr used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:41PM] Shockr used command ::Yell ::veigar!!! | Player rights = CLERIC_DONATOR	
[4/18/23 05:43PM] Shockr used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 05:47PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:52PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:54PM] Shockr used command ::Reward 1 3 | Player rights = CLERIC_DONATOR	
[4/18/23 06:20PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:23PM] Shockr used command ::Yell taking offers on $150 dono pm | Player rights = CLERIC_DONATOR	
[4/18/23 06:25PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:25PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:28PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:30PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:34PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:38PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:40PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:41PM] Shockr used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:43PM] Shockr used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 06:45PM] Shockr used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 06:47PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 07:02PM] Shockr used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 07:02PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 07:07PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 07:08PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 07:11PM] Shockr used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:18PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 07:33PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 07:41PM] Shockr used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:43PM] Shockr used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 07:44PM] Shockr used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 07:44PM] Shockr used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 08:16PM] Shockr used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:18PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 08:19PM] Shockr used command ::Bank | Player rights = CLERIC_DONATOR	
[4/18/23 08:43PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 09:13PM] Shockr used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/19/23 08:21PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:26PM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:23AM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:26AM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:41AM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:41AM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:15AM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:29AM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:35AM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:04AM] Shockr used command ::Store | Player rights = CLERIC_DONATOR	
[4/20/23 10:11AM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:11AM] Shockr used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:19AM] Shockr used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:20AM] Shockr used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:21AM] Shockr used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:24AM] Shockr used command ::veigar | Player rights = CLERIC_DONATOR	
