[4/17/23 01:01PM] Brady used command ::train | Player rights = PLAYER	
[4/17/23 01:05PM] Brady used command ::commands | Player rights = PLAYER	
[4/17/23 01:06PM] Brady used command ::checkdaily | Player rights = PLAYER	
[4/17/23 01:10PM] Brady used command ::pos | Player rights = PLAYER	
[4/17/23 01:10PM] Brady used command ::home | Player rights = PLAYER	
[4/17/23 01:10PM] Brady used command ::pos | Player rights = PLAYER	
[4/17/23 01:11PM] Brady used command ::train | Player rights = PLAYER	
[4/17/23 01:12PM] Brady used command ::vote | Player rights = PLAYER	
[4/17/23 01:14PM] Brady used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 01:53PM] Brady used command ::shops | Player rights = PLAYER	
[4/17/23 04:02PM] Brady used command ::veigar | Player rights = PLAYER	
[4/17/23 08:52PM] Brady used command ::vote | Player rights = PLAYER	
[4/17/23 09:28PM] Brady used command ::veigar | Player rights = PLAYER	
[4/17/23 09:58PM] Brady used command ::veigar | Player rights = PLAYER	
[4/17/23 10:28PM] Brady used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:28PM] Brady used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:05AM] Brady used command ::wboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:05AM] Brady used command ::wb | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:05AM] Brady used command ::worldboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:05AM] Brady used command ::wzone | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:11AM] Brady used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:14AM] Brady used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:41AM] Brady used command ::veidar | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:41AM] Brady used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:42AM] Brady used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:42AM] Brady used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:42AM] Brady used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:45AM] Brady used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:04AM] Brady used command ::ref walkchaos | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:05AM] Brady used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:55AM] Brady used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:56AM] Brady used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:57AM] Brady used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:30AM] Brady used command ::empty | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:30AM] Brady used command ::empty | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:55PM] Brady used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:55PM] Brady used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:14PM] Brady used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:14PM] Brady used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:14PM] Brady used command ::bank | Player rights = GRACEFUL_DONATOR	
