[4/16/23 07:19AM] Nigelow used command ::reff | Player rights = PLAYER	
[4/16/23 07:19AM] Nigelow used command ::ref | Player rights = PLAYER	
[4/16/23 07:23AM] Nigelow used command ::veigar | Player rights = PLAYER	
[4/16/23 07:24AM] Nigelow used command ::ninetails | Player rights = PLAYER	
[4/16/23 07:24AM] Nigelow used command ::meruem | Player rights = PLAYER	
[4/16/23 07:25AM] Nigelow used command ::train | Player rights = PLAYER	
[4/16/23 07:29AM] Nigelow used command ::home | Player rights = PLAYER	
[4/16/23 07:29AM] Nigelow used command ::voteboss | Player rights = PLAYER	
[4/16/23 07:30AM] Nigelow used command ::home | Player rights = PLAYER	
[4/16/23 07:33AM] Nigelow used command ::dono | Player rights = PLAYER	
[4/16/23 07:33AM] Nigelow used command ::shops | Player rights = PLAYER	
[4/16/23 07:33AM] Nigelow used command ::shop | Player rights = PLAYER	
[4/16/23 07:33AM] Nigelow used command ::donate | Player rights = PLAYER	
