[4/15/23 04:58AM] Plebo used command ::voteboss | Player rights = PLAYER	
[4/15/23 04:59AM] Plebo used command ::train | Player rights = PLAYER	
[4/15/23 05:03AM] Plebo used command ::vote | Player rights = PLAYER	
[4/15/23 06:10AM] Plebo used command ::totem | Player rights = PLAYER	
[4/15/23 06:10AM] Plebo used command ::reward | Player rights = PLAYER	
[4/15/23 06:11AM] Plebo used command ::reward 1 | Player rights = PLAYER	
[4/15/23 06:14AM] Plebo used command ::train | Player rights = PLAYER	
[4/15/23 06:15AM] Plebo used command ::ref | Player rights = PLAYER	
[4/15/23 06:22AM] Plebo used command ::train | Player rights = PLAYER	
[4/15/23 06:28AM] Plebo used command ::veigar | Player rights = PLAYER	
[4/15/23 06:48AM] Plebo used command ::veigar | Player rights = PLAYER	
[4/15/23 07:41AM] Plebo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:43AM] Plebo used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:44AM] Plebo used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:00AM] Plebo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:00AM] Plebo used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:02AM] Plebo used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:02AM] Plebo used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:03AM] Plebo used command ::ape | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:03AM] Plebo used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:04AM] Plebo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:05AM] Plebo used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:08AM] Plebo used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:10AM] Plebo used command ::store | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:14AM] Plebo used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:28AM] Plebo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:29AM] Plebo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:29AM] Plebo used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:58AM] Plebo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:00AM] Plebo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:00AM] Plebo used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:00AM] Plebo used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:01AM] Plebo used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:11AM] Plebo used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:12AM] Plebo used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:28AM] Plebo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:30AM] Plebo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:31AM] Plebo used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:31AM] Plebo used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:58AM] Plebo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:59AM] Plebo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:59AM] Plebo used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:59AM] Plebo used command ::meruem | Player rights = GRACEFUL_DONATOR	
