[4/18/23 12:23PM] Im A Potato used command ::refer | Player rights = PLAYER	
[4/18/23 12:23PM] Im A Potato used command ::refer | Player rights = PLAYER	
[4/18/23 12:30PM] Im A Potato used command ::home | Player rights = PLAYER	
[4/18/23 12:33PM] Im A Potato used command ::Vote | Player rights = PLAYER	
[4/18/23 12:35PM] Im A Potato used command ::claimvote | Player rights = PLAYER	
[4/18/23 12:35PM] Im A Potato used command ::voted | Player rights = PLAYER	
[4/18/23 12:35PM] Im A Potato used command ::claimvote | Player rights = PLAYER	
[4/18/23 12:35PM] Im A Potato used command ::claim | Player rights = PLAYER	
[4/18/23 12:35PM] Im A Potato used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 12:41PM] Im A Potato used command ::ninetails | Player rights = PLAYER	
[4/18/23 12:41PM] Im A Potato used command ::veigar | Player rights = PLAYER	
[4/18/23 12:41PM] Im A Potato used command ::ninetails | Player rights = PLAYER	
[4/18/23 12:42PM] Im A Potato used command ::meruem | Player rights = PLAYER	
[4/18/23 12:45PM] Im A Potato used command ::teleport | Player rights = PLAYER	
[4/18/23 12:49PM] Im A Potato used command ::home | Player rights = PLAYER	
[4/18/23 01:08PM] Im A Potato used command ::kills | Player rights = PLAYER	
[4/18/23 01:08PM] Im A Potato used command ::kills | Player rights = PLAYER	
[4/18/23 01:11PM] Im A Potato used command ::veigar | Player rights = PLAYER	
[4/18/23 01:16PM] Im A Potato used command ::dr | Player rights = PLAYER	
[4/18/23 01:16PM] Im A Potato used command ::dr | Player rights = PLAYER	
[4/18/23 01:29PM] Im A Potato used command ::voteboss | Player rights = PLAYER	
[4/18/23 01:41PM] Im A Potato used command ::veigr | Player rights = PLAYER	
[4/18/23 01:41PM] Im A Potato used command ::veigar | Player rights = PLAYER	
[4/18/23 01:41PM] Im A Potato used command ::ninetails | Player rights = PLAYER	
[4/18/23 01:42PM] Im A Potato used command ::golden | Player rights = PLAYER	
[4/18/23 02:11PM] Im A Potato used command ::veigar | Player rights = PLAYER	
[4/18/23 02:41PM] Im A Potato used command ::veigar | Player rights = PLAYER	
