[4/21/23 04:16PM] Dusty Nuggz used command ::train | Player rights = PLAYER	
[4/21/23 04:21PM] Dusty Nuggz used command ::train | Player rights = PLAYER	
[4/21/23 04:22PM] Dusty Nuggz used command ::mydr | Player rights = PLAYER	
[4/21/23 04:28PM] Dusty Nuggz used command ::Train | Player rights = PLAYER	
[4/21/23 04:39PM] Dusty Nuggz used command ::train | Player rights = PLAYER	
[4/21/23 05:01PM] Dusty Nuggz used command ::train | Player rights = PLAYER	
[4/21/23 05:11PM] Dusty Nuggz used command ::bsnk | Player rights = PLAYER	
[4/21/23 05:11PM] Dusty Nuggz used command ::bsnk | Player rights = PLAYER	
[4/21/23 05:12PM] Dusty Nuggz used command ::train | Player rights = PLAYER	
[4/21/23 05:12PM] Dusty Nuggz used command ::pos | Player rights = PLAYER	
[4/21/23 05:12PM] Dusty Nuggz used command ::home | Player rights = PLAYER	
[4/21/23 05:12PM] Dusty Nuggz used command ::pos | Player rights = PLAYER	
[4/21/23 05:15PM] Dusty Nuggz used command ::vote | Player rights = PLAYER	
[4/21/23 05:17PM] Dusty Nuggz used command ::claim | Player rights = PLAYER	
[4/21/23 05:17PM] Dusty Nuggz used command ::claimvote | Player rights = PLAYER	
[4/21/23 05:18PM] Dusty Nuggz used command ::voted | Player rights = PLAYER	
[4/21/23 05:18PM] Dusty Nuggz used command ::reward 1 | Player rights = PLAYER	
[4/21/23 05:20PM] Dusty Nuggz used command ::train | Player rights = PLAYER	
[4/21/23 05:24PM] Dusty Nuggz used command ::donate | Player rights = PLAYER	
[4/21/23 05:32PM] Dusty Nuggz used command ::veigar | Player rights = PLAYER	
[4/21/23 05:34PM] Dusty Nuggz used command ::home | Player rights = PLAYER	
[4/21/23 05:35PM] Dusty Nuggz used command ::mydr | Player rights = PLAYER	
[4/21/23 05:35PM] Dusty Nuggz used command ::train | Player rights = PLAYER	
[4/21/23 06:02PM] Dusty Nuggz used command ::veigar | Player rights = PLAYER	
[4/21/23 06:04PM] Dusty Nuggz used command ::home | Player rights = PLAYER	
[4/21/23 06:10PM] Dusty Nuggz used command ::mydr | Player rights = PLAYER	
[4/21/23 06:22PM] Dusty Nuggz used command ::wboss | Player rights = PLAYER	
[4/21/23 06:23PM] Dusty Nuggz used command ::home | Player rights = PLAYER	
[4/21/23 06:32PM] Dusty Nuggz used command ::veigar | Player rights = PLAYER	
[4/21/23 06:34PM] Dusty Nuggz used command ::home | Player rights = PLAYER	
[4/21/23 06:45PM] Dusty Nuggz used command ::mydr | Player rights = PLAYER	
[4/21/23 06:47PM] Dusty Nuggz used command ::mydr | Player rights = PLAYER	
[4/21/23 06:48PM] Dusty Nuggz used command ::voteboss | Player rights = PLAYER	
[4/21/23 06:59PM] Dusty Nuggz used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:02PM] Dusty Nuggz used command ::vergar | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:02PM] Dusty Nuggz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:15PM] Dusty Nuggz used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:02PM] Dusty Nuggz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:18PM] Dusty Nuggz used command ::home | Player rights = GRACEFUL_DONATOR	
