[4/19/23 11:50AM] Pr used command ::refr wr3ckedyou | Player rights = PLAYER	
[4/19/23 11:51AM] Pr used command ::golden | Player rights = PLAYER	
[4/19/23 11:51AM] Pr used command ::refer | Player rights = PLAYER	
[4/19/23 11:54AM] Pr used command ::train | Player rights = PLAYER	
[4/19/23 11:56AM] Pr used command ::Train | Player rights = PLAYER	
[4/19/23 11:59AM] Pr used command ::train | Player rights = PLAYER	
[4/19/23 12:12PM] Pr used command ::train | Player rights = PLAYER	
[4/19/23 12:13PM] Pr used command ::viegar | Player rights = PLAYER	
[4/19/23 12:13PM] Pr used command ::veigar | Player rights = PLAYER	
[4/19/23 12:15PM] Pr used command ::voteboss | Player rights = PLAYER	
[4/19/23 12:16PM] Pr used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:17PM] Pr used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:17PM] Pr used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:18PM] Pr used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:18PM] Pr used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:20PM] Pr used command ::train | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:21PM] Pr used command ::Train | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:41PM] Pr used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:41PM] Pr used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:41PM] Pr used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:43PM] Pr used command ::Pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:43PM] Pr used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:45PM] Pr used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:45PM] Pr used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:47PM] Pr used command ::claimvotes | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:47PM] Pr used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:13PM] Pr used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:14PM] Pr used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:16PM] Pr used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:18PM] Pr used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:19PM] Pr used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:44PM] Pr used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:45PM] Pr used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:10PM] Pr used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:11PM] Pr used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:15PM] Pr used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:21PM] Pr used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:21PM] Pr used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:28PM] Pr used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:30PM] Pr used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:41PM] Pr used command ::noble | Player rights = GRACEFUL_DONATOR	
