[4/17/23 12:25AM] Sir Dope used command ::ref walkchaos | Player rights = PLAYER	
[4/17/23 12:25AM] Sir Dope used command ::train | Player rights = PLAYER	
[4/17/23 12:26AM] Sir Dope used command ::donate | Player rights = PLAYER	
[4/17/23 12:30AM] Sir Dope used command ::freedonor | Player rights = PLAYER	
[4/17/23 12:44AM] Sir Dope used command ::ninetails | Player rights = PLAYER	
[4/17/23 12:47AM] Sir Dope used command ::golden | Player rights = PLAYER	
[4/17/23 12:49AM] Sir Dope used command ::golden | Player rights = PLAYER	
[4/17/23 12:49AM] Sir Dope used command ::golden | Player rights = PLAYER	
[4/17/23 12:51AM] Sir Dope used command ::golden | Player rights = PLAYER	
[4/17/23 12:53AM] Sir Dope used command ::golden | Player rights = PLAYER	
[4/17/23 12:55AM] Sir Dope used command ::veigar | Player rights = PLAYER	
[4/17/23 12:55AM] Sir Dope used command ::vote | Player rights = PLAYER	
[4/17/23 12:56AM] Sir Dope used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 01:01AM] Sir Dope used command ::voteboss | Player rights = PLAYER	
[4/17/23 01:01AM] Sir Dope used command ::bank | Player rights = PLAYER	
[4/17/23 01:11AM] Sir Dope used command ::train | Player rights = PLAYER	
[4/17/23 01:26AM] Sir Dope used command ::home | Player rights = PLAYER	
[4/17/23 01:26AM] Sir Dope used command ::train | Player rights = PLAYER	
[4/17/23 01:39AM] Sir Dope used command ::upgrade | Player rights = PLAYER	
[4/17/23 01:39AM] Sir Dope used command ::upgrader | Player rights = PLAYER	
[4/17/23 01:39AM] Sir Dope used command ::upgrade | Player rights = PLAYER	
[4/17/23 01:40AM] Sir Dope used command ::craft | Player rights = PLAYER	
[4/17/23 01:40AM] Sir Dope used command ::home | Player rights = PLAYER	
[4/17/23 06:10AM] Sir Dope used command ::veigar | Player rights = PLAYER	
[4/17/23 06:11AM] Sir Dope used command ::pos | Player rights = PLAYER	
[4/20/23 09:30AM] Sir Dope used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:33AM] Sir Dope used command ::altars | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:36AM] Sir Dope used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:36AM] Sir Dope used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:39AM] Sir Dope used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:39AM] Sir Dope used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:39AM] Sir Dope used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:49AM] Sir Dope used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:51AM] Sir Dope used command ::musuem | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:51AM] Sir Dope used command ::ninetails | Player rights = GRACEFUL_DONATOR	
