[4/15/23 07:44AM] Doppelganger used command ::ref | Player rights = PLAYER	
[4/15/23 07:46AM] Doppelganger used command ::train | Player rights = PLAYER	
[4/15/23 07:52AM] Doppelganger used command ::train | Player rights = PLAYER	
[4/15/23 07:54AM] Doppelganger used command ::train | Player rights = PLAYER	
[4/15/23 07:58AM] Doppelganger used command ::veigar | Player rights = PLAYER	
[4/15/23 08:01AM] Doppelganger used command ::vote | Player rights = PLAYER	
[4/15/23 08:03AM] Doppelganger used command ::train | Player rights = PLAYER	
[4/15/23 08:06AM] Doppelganger used command ::reward 1 | Player rights = PLAYER	
[4/15/23 08:10AM] Doppelganger used command ::bank | Player rights = PLAYER	
[4/15/23 08:21AM] Doppelganger used command ::bank | Player rights = PLAYER	
[4/15/23 08:22AM] Doppelganger used command ::bank | Player rights = PLAYER	
[4/15/23 08:28AM] Doppelganger used command ::veigar | Player rights = PLAYER	
[4/15/23 08:30AM] Doppelganger used command ::nientails | Player rights = PLAYER	
[4/15/23 08:30AM] Doppelganger used command ::meruem | Player rights = PLAYER	
[4/15/23 08:30AM] Doppelganger used command ::ninetails | Player rights = PLAYER	
[4/15/23 08:58AM] Doppelganger used command ::reward 1 | Player rights = PLAYER	
[4/15/23 08:58AM] Doppelganger used command ::veigar | Player rights = PLAYER	
[4/15/23 08:59AM] Doppelganger used command ::veigar | Player rights = PLAYER	
[4/15/23 09:01AM] Doppelganger used command ::voteboss | Player rights = PLAYER	
[4/15/23 09:11AM] Doppelganger used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:12AM] Doppelganger used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:28AM] Doppelganger used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:30AM] Doppelganger used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:31AM] Doppelganger used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:28PM] Doppelganger used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:30PM] Doppelganger used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:31PM] Doppelganger used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:32PM] Doppelganger used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:59PM] Doppelganger used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:17PM] Doppelganger used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:28PM] Doppelganger used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:30PM] Doppelganger used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:49PM] Doppelganger used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:51PM] Doppelganger used command ::bank | Player rights = CLERIC_DONATOR	
