[4/18/23 01:22PM] Shug used command ::freedonatoe | Player rights = PLAYER	
[4/18/23 01:22PM] Shug used command ::Freedonator | Player rights = PLAYER	
[4/18/23 01:22PM] Shug used command ::comands | Player rights = PLAYER	
[4/18/23 01:22PM] Shug used command ::commands | Player rights = PLAYER	
[4/18/23 01:22PM] Shug used command ::donationdeals | Player rights = PLAYER	
[4/18/23 01:23PM] Shug used command ::home | Player rights = PLAYER	
[4/18/23 01:23PM] Shug used command ::train | Player rights = PLAYER	
[4/18/23 01:23PM] Shug used command ::donate | Player rights = PLAYER	
[4/18/23 01:24PM] Shug used command ::Refer | Player rights = PLAYER	
[4/18/23 01:26PM] Shug used command ::train | Player rights = PLAYER	
[4/18/23 01:29PM] Shug used command ::vote | Player rights = PLAYER	
[4/18/23 01:29PM] Shug used command ::voteboss | Player rights = PLAYER	
[4/18/23 01:31PM] Shug used command ::voted | Player rights = PLAYER	
[4/18/23 01:31PM] Shug used command ::claimvote | Player rights = PLAYER	
[4/18/23 01:31PM] Shug used command ::claimvotes | Player rights = PLAYER	
[4/18/23 01:31PM] Shug used command ::voted | Player rights = PLAYER	
[4/18/23 01:31PM] Shug used command ::vote | Player rights = PLAYER	
[4/18/23 01:31PM] Shug used command ::claimvote | Player rights = PLAYER	
[4/18/23 01:31PM] Shug used command ::claim | Player rights = PLAYER	
[4/18/23 01:32PM] Shug used command ::claimvote | Player rights = PLAYER	
[4/18/23 01:32PM] Shug used command ::claimvotes | Player rights = PLAYER	
[4/18/23 01:32PM] Shug used command ::Claimvote | Player rights = PLAYER	
[4/18/23 01:33PM] Shug used command ::commands | Player rights = PLAYER	
[4/18/23 01:33PM] Shug used command ::voted | Player rights = PLAYER	
[4/18/23 01:34PM] Shug used command ::shops | Player rights = PLAYER	
[4/18/23 01:34PM] Shug used command ::commands | Player rights = PLAYER	
