[4/15/23 08:19AM] L I T S used command ::starter | Player rights = PLAYER	
[4/15/23 08:29AM] L I T S used command ::starter | Player rights = PLAYER	
[4/15/23 08:59AM] L I T S used command ::veiger | Player rights = PLAYER	
[4/15/23 08:59AM] L I T S used command ::veigar | Player rights = PLAYER	
[4/15/23 09:01AM] L I T S used command ::voteboss | Player rights = PLAYER	
[4/15/23 09:06AM] L I T S used command ::starter | Player rights = PLAYER	
[4/15/23 09:13AM] L I T S used command ::voteboss | Player rights = PLAYER	
[4/15/23 09:14AM] L I T S used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:16AM] L I T S used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:16AM] L I T S used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:16AM] L I T S used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:16AM] L I T S used command ::starter | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:29AM] L I T S used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:45AM] L I T S used command ::progress | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:52AM] L I T S used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:58AM] L I T S used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:01AM] L I T S used command ::ref walkchaos | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:14AM] L I T S used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29AM] L I T S used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29AM] L I T S used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:30AM] L I T S used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:33AM] L I T S used command ::progress | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:33AM] L I T S used command ::prog | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:34AM] L I T S used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:34AM] L I T S used command ::train2 | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:35AM] L I T S used command ::train 2 | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:29PM] L I T S used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:29PM] L I T S used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:31PM] L I T S used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:33PM] L I T S used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:00PM] L I T S used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:53AM] L I T S used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:54AM] L I T S used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:56AM] L I T S used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:56AM] L I T S used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:23AM] L I T S used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:25AM] L I T S used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:43AM] L I T S used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:53AM] L I T S used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:23AM] L I T S used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:24AM] L I T S used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:24AM] L I T S used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:25AM] L I T S used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:30AM] L I T S used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:53AM] L I T S used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:23PM] L I T S used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:24PM] L I T S used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:50PM] L I T S used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:53PM] L I T S used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:07AM] L I T S used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:09AM] L I T S used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:17AM] L I T S used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:05AM] L I T S used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:06AM] L I T S used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:07AM] L I T S used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:07AM] L I T S used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:07AM] L I T S used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:07AM] L I T S used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:10AM] L I T S used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:39AM] L I T S used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:40AM] L I T S used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:09AM] L I T S used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:39AM] L I T S used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:42AM] L I T S used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:44AM] L I T S used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:45AM] L I T S used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:58AM] L I T S used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:09AM] L I T S used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:34AM] L I T S used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:34AM] L I T S used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:35AM] L I T S used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:35AM] L I T S used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:35AM] L I T S used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:36AM] L I T S used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:37AM] L I T S used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 11:02AM] L I T S used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:03AM] L I T S used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:04AM] L I T S used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 11:05AM] L I T S used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:08AM] L I T S used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:10AM] L I T S used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:32AM] L I T S used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:33AM] L I T S used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 11:52AM] L I T S used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:54AM] L I T S used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:55AM] L I T S used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:56AM] L I T S used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:02PM] L I T S used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:08PM] L I T S used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:09PM] L I T S used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:11PM] L I T S used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:12PM] L I T S used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:15PM] L I T S used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:16PM] L I T S used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] L I T S used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] L I T S used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] L I T S used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] L I T S used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] L I T S used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] L I T S used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] L I T S used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:40PM] L I T S used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 12:10PM] L I T S used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:13PM] L I T S used command ::kills | Player rights = CLERIC_DONATOR	
[4/18/23 12:16PM] L I T S used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 12:41PM] L I T S used command ::veigar' | Player rights = CLERIC_DONATOR	
[4/18/23 12:41PM] L I T S used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:41PM] L I T S used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:42PM] L I T S used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 12:51PM] L I T S used command ::kills | Player rights = CLERIC_DONATOR	
[4/18/23 01:03PM] L I T S used command ::kills | Player rights = CLERIC_DONATOR	
[4/18/23 01:04PM] L I T S used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 01:06PM] L I T S used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 01:06PM] L I T S used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 01:06PM] L I T S used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 01:10PM] L I T S used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:29PM] L I T S used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 01:40PM] L I T S used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:41PM] L I T S used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 01:41PM] L I T S used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 01:50PM] L I T S used command ::kills | Player rights = CLERIC_DONATOR	
[4/19/23 02:35AM] L I T S used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 02:50AM] L I T S used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 02:58AM] L I T S used command ::mereum | Player rights = CLERIC_DONATOR	
[4/19/23 02:58AM] L I T S used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 03:08AM] L I T S used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 06:53AM] L I T S used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:00AM] L I T S used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 07:03AM] L I T S used command ::dropsoff | Player rights = CLERIC_DONATOR	
[4/19/23 07:03AM] L I T S used command ::dropoff | Player rights = CLERIC_DONATOR	
