[4/16/23 09:20AM] Resi Afk used command ::Afk | Player rights = PLAYER	
[4/16/23 10:44AM] Resi Afk used command ::vboss | Player rights = PLAYER	
[4/16/23 10:44AM] Resi Afk used command ::Afk | Player rights = PLAYER	
[4/16/23 10:46AM] Resi Afk used command ::voteboss | Player rights = PLAYER	
[4/16/23 10:49AM] Resi Afk used command ::afk | Player rights = PLAYER	
[4/16/23 03:28PM] Resi Afk used command ::afk | Player rights = PLAYER	
[4/17/23 09:32AM] Resi Afk used command ::Afk | Player rights = PLAYER	
[4/17/23 12:37PM] Resi Afk used command ::Afk | Player rights = PLAYER	
[4/17/23 01:35PM] Resi Afk used command ::Shops | Player rights = PLAYER	
[4/18/23 08:02AM] Resi Afk used command ::Afk | Player rights = PLAYER	
[4/19/23 08:39AM] Resi Afk used command ::afk | Player rights = PLAYER	
[4/19/23 09:20AM] Resi Afk used command ::Afk | Player rights = PLAYER	
[4/20/23 04:31AM] Resi Afk used command ::Afk | Player rights = PLAYER	
[4/20/23 11:16AM] Resi Afk used command ::afk | Player rights = PLAYER	
[4/20/23 01:35PM] Resi Afk used command ::voteboss | Player rights = PLAYER	
[4/20/23 01:36PM] Resi Afk used command ::Afk | Player rights = PLAYER	
[4/20/23 08:22PM] Resi Afk used command ::afk | Player rights = PLAYER	
[4/21/23 04:03AM] Resi Afk used command ::Afk | Player rights = PLAYER	
[4/21/23 08:37AM] Resi Afk used command ::Voteboss | Player rights = PLAYER	
[4/21/23 08:38AM] Resi Afk used command ::Afk | Player rights = PLAYER	
[4/22/23 09:21AM] Resi Afk used command ::Afk | Player rights = PLAYER	
[4/23/23 01:44PM] Resi Afk used command ::Afk | Player rights = PLAYER	
[4/24/23 01:10PM] Resi Afk used command ::Afk | Player rights = PLAYER	
[4/25/23 08:00PM] Resi Afk used command ::afk | Player rights = PLAYER	
