[4/20/23 09:04AM] Truth used command ::ref | Player rights = PLAYER	
[4/20/23 09:09AM] Truth used command ::totem | Player rights = PLAYER	
[4/20/23 09:19AM] Truth used command ::veigar | Player rights = PLAYER	
[4/20/23 09:20AM] Truth used command ::ninetails | Player rights = PLAYER	
[4/20/23 09:22AM] Truth used command ::meruem | Player rights = PLAYER	
[4/20/23 09:22AM] Truth used command ::maxhit | Player rights = PLAYER	
[4/20/23 09:23AM] Truth used command ::golden | Player rights = PLAYER	
[4/20/23 09:24AM] Truth used command ::voteboss | Player rights = PLAYER	
[4/20/23 09:27AM] Truth used command ::totem | Player rights = PLAYER	
[4/20/23 09:35AM] Truth used command ::home | Player rights = PLAYER	
[4/20/23 09:35AM] Truth used command ::home | Player rights = PLAYER	
[4/20/23 04:19PM] Truth used command ::veigar | Player rights = PLAYER	
[4/20/23 04:20PM] Truth used command ::ninetails | Player rights = PLAYER	
[4/20/23 04:22PM] Truth used command ::home | Player rights = PLAYER	
[4/20/23 04:43PM] Truth used command ::voteboss | Player rights = PLAYER	
[4/20/23 04:45PM] Truth used command ::home | Player rights = PLAYER	
[4/20/23 04:49PM] Truth used command ::veigar | Player rights = PLAYER	
[4/20/23 04:52PM] Truth used command ::home | Player rights = PLAYER	
[4/20/23 07:52PM] Truth used command ::afk | Player rights = PLAYER	
[4/20/23 07:52PM] Truth used command ::home | Player rights = PLAYER	
[4/20/23 07:52PM] Truth used command ::afk | Player rights = PLAYER	
[4/22/23 03:21AM] Truth used command ::mining | Player rights = PLAYER	
[4/22/23 03:21AM] Truth used command ::skilling | Player rights = PLAYER	
[4/22/23 03:21AM] Truth used command ::help | Player rights = PLAYER	
[4/22/23 03:21AM] Truth used command ::commands | Player rights = PLAYER	
[4/22/23 03:23AM] Truth used command ::starter | Player rights = PLAYER	
[4/22/23 03:23AM] Truth used command ::home | Player rights = PLAYER	
[4/22/23 03:59AM] Truth used command ::slayer | Player rights = PLAYER	
[4/22/23 03:59AM] Truth used command ::totem | Player rights = PLAYER	
[4/22/23 04:01AM] Truth used command ::slayer | Player rights = PLAYER	
[4/22/23 04:02AM] Truth used command ::veigar | Player rights = PLAYER	
[4/22/23 04:04AM] Truth used command ::totem | Player rights = PLAYER	
[4/22/23 04:06AM] Truth used command ::slayer | Player rights = PLAYER	
[4/22/23 04:08AM] Truth used command ::slayer | Player rights = PLAYER	
[4/22/23 04:09AM] Truth used command ::slayer | Player rights = PLAYER	
[4/22/23 04:11AM] Truth used command ::slayer | Player rights = PLAYER	
[4/22/23 04:13AM] Truth used command ::slayer | Player rights = PLAYER	
[4/22/23 04:14AM] Truth used command ::slayer | Player rights = PLAYER	
[4/22/23 04:16AM] Truth used command ::slayer | Player rights = PLAYER	
[4/22/23 04:17AM] Truth used command ::totem | Player rights = PLAYER	
[4/22/23 04:17AM] Truth used command ::pos | Player rights = PLAYER	
[4/22/23 04:17AM] Truth used command ::pos | Player rights = PLAYER	
