[4/18/23 07:31PM] Kurdish used command ::refer | Player rights = PLAYER	
[4/18/23 07:32PM] Kurdish used command ::refer | Player rights = PLAYER	
[4/18/23 07:40PM] Kurdish used command ::starter | Player rights = PLAYER	
[4/18/23 07:41PM] Kurdish used command ::veigar | Player rights = PLAYER	
[4/18/23 07:43PM] Kurdish used command ::ninetails | Player rights = PLAYER	
[4/18/23 07:45PM] Kurdish used command ::train | Player rights = PLAYER	
[4/18/23 07:51PM] Kurdish used command ::train | Player rights = PLAYER	
[4/18/23 08:03PM] Kurdish used command ::npc | Player rights = PLAYER	
[4/18/23 08:03PM] Kurdish used command ::kills | Player rights = PLAYER	
[4/18/23 08:11PM] Kurdish used command ::veigar | Player rights = PLAYER	
[4/18/23 09:59PM] Kurdish used command ::vote | Player rights = PLAYER	
[4/18/23 10:02PM] Kurdish used command ::claimvotes | Player rights = PLAYER	
[4/18/23 10:02PM] Kurdish used command ::claimvote | Player rights = PLAYER	
[4/18/23 10:02PM] Kurdish used command ::reward 1 | Player rights = PLAYER	
[4/18/23 10:03PM] Kurdish used command ::reward 2 | Player rights = PLAYER	
[4/18/23 10:03PM] Kurdish used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 10:11PM] Kurdish used command ::veigar | Player rights = PLAYER	
[4/18/23 10:18PM] Kurdish used command ::vboss | Player rights = PLAYER	
[4/18/23 11:35PM] Kurdish used command ::veigar | Player rights = PLAYER	
[4/19/23 12:05AM] Kurdish used command ::veigar | Player rights = PLAYER	
[4/19/23 12:19AM] Kurdish used command ::afk | Player rights = PLAYER	
[4/19/23 12:28AM] Kurdish used command ::afk | Player rights = PLAYER	
[4/19/23 08:24AM] Kurdish used command ::afk | Player rights = PLAYER	
[4/19/23 10:07AM] Kurdish used command ::dr | Player rights = PLAYER	
[4/19/23 10:13AM] Kurdish used command ::veigar | Player rights = PLAYER	
[4/19/23 10:31AM] Kurdish used command ::afk | Player rights = PLAYER	
[4/19/23 01:14PM] Kurdish used command ::veigar | Player rights = PLAYER	
[4/19/23 01:34PM] Kurdish used command ::yellowzone | Player rights = PLAYER	
[4/19/23 01:34PM] Kurdish used command ::wzone | Player rights = PLAYER	
[4/19/23 01:44PM] Kurdish used command ::veigar | Player rights = PLAYER	
[4/19/23 01:51PM] Kurdish used command ::home | Player rights = PLAYER	
[4/19/23 01:52PM] Kurdish used command ::afk | Player rights = PLAYER	
[4/19/23 02:44PM] Kurdish used command ::eigar | Player rights = PLAYER	
[4/19/23 02:44PM] Kurdish used command ::veigar | Player rights = PLAYER	
[4/19/23 02:45PM] Kurdish used command ::afk | Player rights = PLAYER	
[4/19/23 08:44PM] Kurdish used command ::veigar | Player rights = PLAYER	
[4/19/23 08:56PM] Kurdish used command ::daily | Player rights = PLAYER	
[4/19/23 10:46PM] Kurdish used command ::afk | Player rights = PLAYER	
[4/20/23 08:07PM] Kurdish used command ::vote | Player rights = PLAYER	
[4/20/23 08:10PM] Kurdish used command ::reward 1 | Player rights = PLAYER	
[4/20/23 08:10PM] Kurdish used command ::reward al | Player rights = PLAYER	
[4/20/23 08:10PM] Kurdish used command ::reward 1 | Player rights = PLAYER	
[4/20/23 08:10PM] Kurdish used command ::reward 1 | Player rights = PLAYER	
[4/20/23 08:10PM] Kurdish used command ::reward 1 | Player rights = PLAYER	
[4/21/23 06:34PM] Kurdish used command ::muruem | Player rights = PLAYER	
[4/21/23 06:35PM] Kurdish used command ::golden | Player rights = PLAYER	
[4/21/23 06:38PM] Kurdish used command ::voteboss | Player rights = PLAYER	
[4/21/23 06:41PM] Kurdish used command ::yell selling 10$ bond pm me | Player rights = GRACEFUL_DONATOR	
