[4/15/23 11:09PM] Sharpy0123 used command ::ref winallday | Player rights = PLAYER	
[4/15/23 11:09PM] Sharpy0123 used command ::ref win all day | Player rights = PLAYER	
[4/15/23 11:30PM] Sharpy0123 used command ::ref | Player rights = PLAYER	
[4/15/23 11:32PM] Sharpy0123 used command ::ref | Player rights = PLAYER	
[4/15/23 11:33PM] Sharpy0123 used command ::starter | Player rights = PLAYER	
[4/15/23 11:35PM] Sharpy0123 used command ::starter | Player rights = PLAYER	
[4/15/23 11:54PM] Sharpy0123 used command ::veigar | Player rights = PLAYER	
[4/15/23 11:55PM] Sharpy0123 used command ::bank | Player rights = PLAYER	
[4/16/23 01:38PM] Sharpy0123 used command ::starter | Player rights = PLAYER	
[4/16/23 01:40PM] Sharpy0123 used command ::starter | Player rights = PLAYER	
[4/16/23 01:44PM] Sharpy0123 used command ::starter | Player rights = PLAYER	
[4/16/23 01:49PM] Sharpy0123 used command ::starter | Player rights = PLAYER	
[4/16/23 01:52PM] Sharpy0123 used command ::bank | Player rights = PLAYER	
[4/16/23 01:52PM] Sharpy0123 used command ::bank | Player rights = PLAYER	
[4/16/23 01:53PM] Sharpy0123 used command ::veigar | Player rights = PLAYER	
[4/16/23 01:57PM] Sharpy0123 used command ::starter | Player rights = PLAYER	
[4/16/23 01:58PM] Sharpy0123 used command ::home | Player rights = PLAYER	
[4/16/23 01:59PM] Sharpy0123 used command ::starter | Player rights = PLAYER	
[4/16/23 02:00PM] Sharpy0123 used command ::home | Player rights = PLAYER	
[4/16/23 02:12PM] Sharpy0123 used command ::bank | Player rights = PLAYER	
[4/16/23 02:13PM] Sharpy0123 used command ::claimed | Player rights = PLAYER	
[4/16/23 02:13PM] Sharpy0123 used command ::claimdonation | Player rights = PLAYER	
[4/16/23 02:13PM] Sharpy0123 used command ::commands | Player rights = PLAYER	
[4/16/23 02:14PM] Sharpy0123 used command ::donated | Player rights = PLAYER	
[4/16/23 02:14PM] Sharpy0123 used command ::commands | Player rights = PLAYER	
[4/16/23 02:14PM] Sharpy0123 used command ::donationdeals | Player rights = PLAYER	
[4/16/23 02:17PM] Sharpy0123 used command ::donated | Player rights = PLAYER	
[4/16/23 02:17PM] Sharpy0123 used command ::donated | Player rights = PLAYER	
[4/16/23 02:17PM] Sharpy0123 used command ::commands | Player rights = PLAYER	
[4/16/23 02:17PM] Sharpy0123 used command ::donated | Player rights = PLAYER	
[4/16/23 02:22PM] Sharpy0123 used command ::donated | Player rights = PLAYER	
[4/16/23 02:23PM] Sharpy0123 used command ::claimdonation | Player rights = PLAYER	
[4/16/23 02:23PM] Sharpy0123 used command ::veigar | Player rights = PLAYER	
[4/16/23 02:24PM] Sharpy0123 used command ::ninetails | Player rights = PLAYER	
[4/16/23 02:24PM] Sharpy0123 used command ::golden | Player rights = PLAYER	
[4/16/23 02:25PM] Sharpy0123 used command ::donated | Player rights = PLAYER	
[4/16/23 02:25PM] Sharpy0123 used command ::commands | Player rights = PLAYER	
[4/16/23 02:25PM] Sharpy0123 used command ::claimdonation | Player rights = PLAYER	
[4/16/23 02:26PM] Sharpy0123 used command ::home | Player rights = PLAYER	
[4/16/23 02:26PM] Sharpy0123 used command ::donated | Player rights = PLAYER	
[4/16/23 02:27PM] Sharpy0123 used command ::donated | Player rights = PLAYER	
[4/16/23 02:29PM] Sharpy0123 used command ::donated | Player rights = PLAYER	
[4/16/23 02:30PM] Sharpy0123 used command ::donated | Player rights = PLAYER	
[4/16/23 02:32PM] Sharpy0123 used command ::shops | Player rights = PLAYER	
[4/16/23 02:32PM] Sharpy0123 used command ::donated | Player rights = PLAYER	
[4/16/23 02:33PM] Sharpy0123 used command ::claim | Player rights = PLAYER	
[4/16/23 02:38PM] Sharpy0123 used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 02:40PM] Sharpy0123 used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 02:42PM] Sharpy0123 used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 02:42PM] Sharpy0123 used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 02:42PM] Sharpy0123 used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 02:53PM] Sharpy0123 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 02:54PM] Sharpy0123 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 02:54PM] Sharpy0123 used command ::king | Player rights = CLERIC_DONATOR	
[4/16/23 02:54PM] Sharpy0123 used command ::gold | Player rights = CLERIC_DONATOR	
[4/16/23 02:54PM] Sharpy0123 used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 02:57PM] Sharpy0123 used command ::cleric | Player rights = CLERIC_DONATOR	
[4/16/23 02:59PM] Sharpy0123 used command ::reward1 | Player rights = CLERIC_DONATOR	
[4/16/23 02:59PM] Sharpy0123 used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 02:59PM] Sharpy0123 used command ::reward 2 | Player rights = CLERIC_DONATOR	
[4/16/23 02:59PM] Sharpy0123 used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 03:00PM] Sharpy0123 used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 03:22PM] Sharpy0123 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:23PM] Sharpy0123 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 03:24PM] Sharpy0123 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 03:29PM] Sharpy0123 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 03:46PM] Sharpy0123 used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 03:53PM] Sharpy0123 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:53PM] Sharpy0123 used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 04:00PM] Sharpy0123 used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 04:01PM] Sharpy0123 used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 04:11PM] Sharpy0123 used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 04:23PM] Sharpy0123 used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 04:24PM] Sharpy0123 used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/16/23 04:53PM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/16/23 04:53PM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/16/23 04:54PM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/16/23 04:56PM] Sharpy0123 used command ::maxhit | Player rights = MYSTICAL_DONATOR	
[4/16/23 05:13PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/16/23 05:17PM] Sharpy0123 used command ::totem | Player rights = MYSTICAL_DONATOR	
[4/16/23 05:22PM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/16/23 05:22PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/16/23 05:23PM] Sharpy0123 used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/16/23 05:24PM] Sharpy0123 used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/16/23 05:25PM] Sharpy0123 used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/16/23 05:46PM] Sharpy0123 used command ::kills | Player rights = MYSTICAL_DONATOR	
[4/16/23 05:53PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/16/23 05:53PM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/17/23 06:40AM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/17/23 06:41AM] Sharpy0123 used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/17/23 06:41AM] Sharpy0123 used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/17/23 06:42AM] Sharpy0123 used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/17/23 06:42AM] Sharpy0123 used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/17/23 06:46AM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/17/23 06:58AM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:02AM] Sharpy0123 used command ::claim | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:05AM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:08AM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:08AM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:10AM] Sharpy0123 used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:12AM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:16AM] Sharpy0123 used command ::display | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:17AM] Sharpy0123 used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:28AM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:39AM] Sharpy0123 used command ::viegar | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:39AM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:40AM] Sharpy0123 used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:41AM] Sharpy0123 used command ::meurma | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:49AM] Sharpy0123 used command ::maxhit | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:55AM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 03:17PM] Sharpy0123 used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/17/23 03:19PM] Sharpy0123 used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/17/23 03:22PM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 03:32PM] Sharpy0123 used command ::veigard | Player rights = MYSTICAL_DONATOR	
[4/17/23 03:32PM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/17/23 03:32PM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/17/23 03:33PM] Sharpy0123 used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/17/23 03:34PM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 03:39PM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 04:00PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/17/23 04:00PM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 04:02PM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/17/23 04:32PM] Sharpy0123 used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/17/23 04:33PM] Sharpy0123 used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/17/23 04:33PM] Sharpy0123 used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/17/23 04:38PM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 05:26PM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 05:34PM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/17/23 05:34PM] Sharpy0123 used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/17/23 05:35PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/17/23 05:37PM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 06:02PM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/17/23 06:04PM] Sharpy0123 used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 06:15PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/17/23 06:32PM] Sharpy0123 used command ::viegar | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:08PM] Sharpy0123 used command ::drop on | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:08PM] Sharpy0123 used command ::dropsoff | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:08PM] Sharpy0123 used command ::dropson | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:11PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:12PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:14PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:21PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:23PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:23PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:23PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:32PM] Sharpy0123 used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/17/23 07:32PM] Sharpy0123 used command ::bank | Player rights = MYSTICAL_DONATOR	
