[4/18/23 03:11PM] Josh used command ::ref | Player rights = PLAYER	
[4/18/23 03:13PM] Josh used command ::Starter | Player rights = PLAYER	
[4/18/23 03:27PM] Josh used command ::vote | Player rights = PLAYER	
[4/18/23 03:29PM] Josh used command ::discord | Player rights = PLAYER	
[4/18/23 03:41PM] Josh used command ::veigar | Player rights = PLAYER	
[4/18/23 04:01PM] Josh used command ::donate | Player rights = PLAYER	
[4/18/23 04:10PM] Josh used command ::Dr | Player rights = PLAYER	
[4/18/23 04:11PM] Josh used command ::veigar | Player rights = PLAYER	
[4/18/23 04:15PM] Josh used command ::Voteboss | Player rights = PLAYER	
[4/18/23 04:15PM] Josh used command ::marion | Player rights = PLAYER	
[4/18/23 04:16PM] Josh used command ::meruem | Player rights = PLAYER	
[4/18/23 04:22PM] Josh used command ::bank | Player rights = PLAYER	
[4/18/23 04:25PM] Josh used command ::doantye | Player rights = PLAYER	
[4/18/23 04:25PM] Josh used command ::doante | Player rights = PLAYER	
[4/18/23 04:25PM] Josh used command ::donate | Player rights = PLAYER	
[4/18/23 04:25PM] Josh used command ::mbox | Player rights = PLAYER	
[4/18/23 04:25PM] Josh used command ::mboxloot | Player rights = PLAYER	
[4/18/23 04:25PM] Josh used command ::loot | Player rights = PLAYER	
[4/18/23 04:39PM] Josh used command ::globalboss | Player rights = PLAYER	
[4/18/23 04:39PM] Josh used command ::global | Player rights = PLAYER	
[4/18/23 04:39PM] Josh used command ::global | Player rights = PLAYER	
[4/18/23 04:39PM] Josh used command ::meruem | Player rights = PLAYER	
[4/18/23 04:40PM] Josh used command ::veigar | Player rights = PLAYER	
[4/18/23 04:41PM] Josh used command ::ninetails | Player rights = PLAYER	
[4/18/23 04:42PM] Josh used command ::meruem | Player rights = PLAYER	
[4/18/23 04:42PM] Josh used command ::golden | Player rights = PLAYER	
[4/18/23 04:50PM] Josh used command ::Yell selling $5 | Player rights = PLAYER	
[4/18/23 04:52PM] Josh used command ::gamble | Player rights = PLAYER	
[4/18/23 04:55PM] Josh used command ::voteboss | Player rights = PLAYER	
[4/18/23 04:59PM] Josh used command ::dr | Player rights = PLAYER	
[4/18/23 04:59PM] Josh used command ::vote | Player rights = PLAYER	
[4/18/23 05:01PM] Josh used command ::reward 1 | Player rights = PLAYER	
[4/18/23 05:01PM] Josh used command ::Reward 1 | Player rights = PLAYER	
[4/18/23 05:02PM] Josh used command ::Reward 1 | Player rights = PLAYER	
[4/18/23 05:02PM] Josh used command ::reward 1 | Player rights = PLAYER	
[4/18/23 05:04PM] Josh used command ::yell selling 15$ 40 k eac | Player rights = PLAYER	
[4/18/23 05:07PM] Josh used command ::ranks | Player rights = PLAYER	
[4/18/23 05:07PM] Josh used command ::rank | Player rights = PLAYER	
[4/18/23 05:07PM] Josh used command ::discord | Player rights = PLAYER	
[4/18/23 05:11PM] Josh used command ::Veigar | Player rights = PLAYER	
[4/18/23 05:29PM] Josh used command ::voteboss | Player rights = PLAYER	
[4/18/23 05:30PM] Josh used command ::voteboss | Player rights = PLAYER	
[4/18/23 05:30PM] Josh used command ::Dr | Player rights = PLAYER	
[4/18/23 05:32PM] Josh used command ::meruem | Player rights = PLAYER	
[4/18/23 05:35PM] Josh used command ::golden | Player rights = PLAYER	
[4/18/23 05:36PM] Josh used command ::golden | Player rights = PLAYER	
[4/18/23 05:39PM] Josh used command ::dr | Player rights = PLAYER	
[4/18/23 05:39PM] Josh used command ::Dr | Player rights = PLAYER	
[4/18/23 05:40PM] Josh used command ::ref | Player rights = PLAYER	
[4/18/23 05:41PM] Josh used command ::veigar | Player rights = PLAYER	
