[4/18/23 12:40PM] Zamby96 used command ::upgrade | Player rights = PLAYER	
[4/18/23 12:40PM] Zamby96 used command ::upgrade | Player rights = PLAYER	
[4/18/23 12:41PM] Zamby96 used command ::veigar | Player rights = PLAYER	
[4/18/23 12:42PM] Zamby96 used command ::ninetails | Player rights = PLAYER	
[4/18/23 12:42PM] Zamby96 used command ::meruem | Player rights = PLAYER	
[4/18/23 12:48PM] Zamby96 used command ::collection | Player rights = PLAYER	
[4/18/23 06:11PM] Zamby96 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:31PM] Zamby96 used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:31PM] Zamby96 used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:32PM] Zamby96 used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:33PM] Zamby96 used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:33PM] Zamby96 used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:38PM] Zamby96 used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:41PM] Zamby96 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:41PM] Zamby96 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:43PM] Zamby96 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:45PM] Zamby96 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:57PM] Zamby96 used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:11PM] Zamby96 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:18PM] Zamby96 used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:41PM] Zamby96 used command ::vegiar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:41PM] Zamby96 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:43PM] Zamby96 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:44PM] Zamby96 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:31AM] Zamby96 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:33AM] Zamby96 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:35AM] Zamby96 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:35AM] Zamby96 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:22PM] Zamby96 used command ::wboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:33PM] Zamby96 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:36PM] Zamby96 used command ::vboss | Player rights = GRACEFUL_DONATOR	
