[4/16/23 08:40AM] Mosh used command ::vote | Player rights = PLAYER	
[4/16/23 08:44AM] Mosh used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 08:51AM] Mosh used command ::ref walkchaos | Player rights = PLAYER	
[4/16/23 09:10AM] Mosh used command ::voteboss | Player rights = PLAYER	
[4/16/23 09:23AM] Mosh used command ::veigar | Player rights = PLAYER	
[4/16/23 09:44AM] Mosh used command ::ninetails | Player rights = PLAYER	
[4/16/23 09:46AM] Mosh used command ::golden | Player rights = PLAYER	
[4/16/23 09:47AM] Mosh used command ::voteboss | Player rights = PLAYER	
[4/16/23 09:49AM] Mosh used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Mosh used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:53AM] Mosh used command ::veigar | Player rights = GRACEFUL_DONATOR	
