[4/15/23 06:45PM] Mastercroz used command ::train | Player rights = PLAYER	
[4/15/23 06:47PM] Mastercroz used command ::train | Player rights = PLAYER	
[4/15/23 06:59PM] Mastercroz used command ::veigar | Player rights = PLAYER	
[4/15/23 07:00PM] Mastercroz used command ::train | Player rights = PLAYER	
[4/15/23 07:01PM] Mastercroz used command ::reff | Player rights = PLAYER	
[4/15/23 07:02PM] Mastercroz used command ::ref | Player rights = PLAYER	
[4/15/23 07:16PM] Mastercroz used command ::home | Player rights = PLAYER	
[4/15/23 07:23PM] Mastercroz used command ::boss | Player rights = PLAYER	
[4/15/23 07:28PM] Mastercroz used command ::ninetails | Player rights = PLAYER	
[4/15/23 07:29PM] Mastercroz used command ::veigar | Player rights = PLAYER	
[4/15/23 07:30PM] Mastercroz used command ::ninetails | Player rights = PLAYER	
[4/15/23 07:32PM] Mastercroz used command ::slayer | Player rights = PLAYER	
[4/15/23 07:38PM] Mastercroz used command ::Slayer | Player rights = PLAYER	
[4/15/23 07:42PM] Mastercroz used command ::Slayer | Player rights = PLAYER	
[4/15/23 07:46PM] Mastercroz used command ::slayer | Player rights = PLAYER	
[4/15/23 07:52PM] Mastercroz used command ::Voteboss | Player rights = PLAYER	
[4/15/23 07:54PM] Mastercroz used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:58PM] Mastercroz used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:05PM] Mastercroz used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:08PM] Mastercroz used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:08PM] Mastercroz used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:14PM] Mastercroz used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:17PM] Mastercroz used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:20PM] Mastercroz used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:29PM] Mastercroz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:30PM] Mastercroz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:32PM] Mastercroz used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:34PM] Mastercroz used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:37PM] Mastercroz used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:40PM] Mastercroz used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:43PM] Mastercroz used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:44PM] Mastercroz used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:59PM] Mastercroz used command ::VIEGAR | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:59PM] Mastercroz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:00PM] Mastercroz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:00PM] Mastercroz used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:53PM] Mastercroz used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:54PM] Mastercroz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:54PM] Mastercroz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:54PM] Mastercroz used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:56PM] Mastercroz used command ::kc | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:59PM] Mastercroz used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:59PM] Mastercroz used command ::Dropon | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:59PM] Mastercroz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:00PM] Mastercroz used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:26PM] Mastercroz used command ::Viegar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:27PM] Mastercroz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:27PM] Mastercroz used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:27PM] Mastercroz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:27PM] Mastercroz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:28PM] Mastercroz used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29PM] Mastercroz used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:30PM] Mastercroz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:31PM] Mastercroz used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:54PM] Mastercroz used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:57PM] Mastercroz used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:31AM] Mastercroz used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:48AM] Mastercroz used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:53AM] Mastercroz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:55AM] Mastercroz used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:55PM] Mastercroz used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:06PM] Mastercroz used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:44PM] Mastercroz used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:45PM] Mastercroz used command ::Claimvote | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:45PM] Mastercroz used command ::claim vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:45PM] Mastercroz used command ::reward 2 | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:45PM] Mastercroz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:45PM] Mastercroz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:45PM] Mastercroz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:52PM] Mastercroz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:52PM] Mastercroz used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:53PM] Mastercroz used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:54PM] Mastercroz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:55PM] Mastercroz used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:51PM] Mastercroz used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:12PM] Mastercroz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:13PM] Mastercroz used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:19PM] Mastercroz used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:39PM] Mastercroz used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:42PM] Mastercroz used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:44PM] Mastercroz used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:09PM] Mastercroz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:18PM] Mastercroz used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:38PM] Mastercroz used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:55AM] Mastercroz used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:59AM] Mastercroz used command ::ref fpk merk | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:02AM] Mastercroz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:03AM] Mastercroz used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:04AM] Mastercroz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:05AM] Mastercroz used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:10AM] Mastercroz used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:16AM] Mastercroz used command ::Home | Player rights = CLERIC_DONATOR	
[4/17/23 11:22AM] Mastercroz used command ::slayer | Player rights = CLERIC_DONATOR	
[4/17/23 11:24AM] Mastercroz used command ::Home | Player rights = CLERIC_DONATOR	
[4/17/23 11:24AM] Mastercroz used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 11:25AM] Mastercroz used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 11:29AM] Mastercroz used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/17/23 11:32AM] Mastercroz used command ::yell VOTE!!! | Player rights = CLERIC_DONATOR	
[4/17/23 11:32AM] Mastercroz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:33AM] Mastercroz used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 11:34AM] Mastercroz used command ::slayer | Player rights = CLERIC_DONATOR	
[4/17/23 11:40AM] Mastercroz used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 11:40AM] Mastercroz used command ::slayer | Player rights = CLERIC_DONATOR	
[4/17/23 11:44AM] Mastercroz used command ::slayer | Player rights = CLERIC_DONATOR	
[4/17/23 11:45AM] Mastercroz used command ::Train | Player rights = CLERIC_DONATOR	
[4/17/23 11:46AM] Mastercroz used command ::home | Player rights = CLERIC_DONATOR	
