[4/21/23 01:02PM] Jam used command ::veigar | Player rights = PLAYER	
[4/21/23 01:04PM] Jam used command ::store | Player rights = PLAYER	
[4/21/23 01:04PM] Jam used command ::store | Player rights = PLAYER	
[4/21/23 01:04PM] Jam used command ::donate | Player rights = PLAYER	
[4/21/23 01:10PM] Jam used command ::ref | Player rights = PLAYER	
[4/21/23 01:10PM] Jam used command ::ref | Player rights = PLAYER	
[4/21/23 01:10PM] Jam used command ::train | Player rights = PLAYER	
[4/21/23 01:10PM] Jam used command ::vboss | Player rights = PLAYER	
[4/21/23 01:22PM] Jam used command ::pos | Player rights = PLAYER	
[4/21/23 01:22PM] Jam used command ::home | Player rights = PLAYER	
[4/21/23 01:23PM] Jam used command ::home | Player rights = PLAYER	
[4/21/23 01:23PM] Jam used command ::dr | Player rights = PLAYER	
[4/21/23 02:51PM] Jam used command ::train | Player rights = PLAYER	
[4/21/23 02:58PM] Jam used command ::home | Player rights = PLAYER	
[4/21/23 03:03PM] Jam used command ::veigar | Player rights = PLAYER	
[4/21/23 03:06PM] Jam used command :::voteboss | Player rights = PLAYER	
[4/21/23 03:06PM] Jam used command ::vboss | Player rights = PLAYER	
[4/21/23 03:09PM] Jam used command ::home | Player rights = PLAYER	
