[4/17/23 04:20AM] Dream used command ::ref | Player rights = PLAYER	
[4/17/23 04:22AM] Dream used command ::pos | Player rights = PLAYER	
[4/17/23 04:22AM] Dream used command ::pos | Player rights = PLAYER	
[4/17/23 04:23AM] Dream used command ::home | Player rights = PLAYER	
[4/17/23 04:26AM] Dream used command ::vote | Player rights = PLAYER	
[4/17/23 04:27AM] Dream used command :::reward 1 2 | Player rights = PLAYER	
[4/17/23 04:27AM] Dream used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 04:28AM] Dream used command ::train | Player rights = PLAYER	
[4/17/23 04:29AM] Dream used command :::home | Player rights = PLAYER	
[4/17/23 04:29AM] Dream used command ::home | Player rights = PLAYER	
[4/17/23 04:31AM] Dream used command :::train | Player rights = PLAYER	
[4/17/23 04:31AM] Dream used command ::starter | Player rights = PLAYER	
[4/17/23 04:33AM] Dream used command ::TRAIN | Player rights = PLAYER	
[4/17/23 04:35AM] Dream used command ::TRAIN | Player rights = PLAYER	
[4/17/23 04:39AM] Dream used command ::veigar | Player rights = PLAYER	
[4/17/23 04:40AM] Dream used command ::ninetails | Player rights = PLAYER	
[4/17/23 04:44AM] Dream used command ::train | Player rights = PLAYER	
[4/17/23 04:49AM] Dream used command ::train | Player rights = PLAYER	
[4/17/23 04:49AM] Dream used command ::train | Player rights = PLAYER	
[4/17/23 05:02AM] Dream used command ::home | Player rights = PLAYER	
[4/17/23 05:25AM] Dream used command ::shops | Player rights = PLAYER	
[4/17/23 05:26AM] Dream used command ::home | Player rights = PLAYER	
[4/17/23 05:27AM] Dream used command ::voteboss | Player rights = PLAYER	
[4/17/23 05:37AM] Dream used command ::veigar | Player rights = PLAYER	
[4/17/23 05:41AM] Dream used command ::ninetails | Player rights = PLAYER	
[4/17/23 05:42AM] Dream used command ::meruem | Player rights = PLAYER	
[4/17/23 05:45AM] Dream used command ::voteboss | Player rights = PLAYER	
[4/18/23 10:30AM] Dream used command :::donate | Player rights = PLAYER	
[4/18/23 10:30AM] Dream used command ::donate | Player rights = PLAYER	
[4/18/23 10:32AM] Dream used command ::dr | Player rights = PLAYER	
[4/18/23 10:34AM] Dream used command ::home | Player rights = PLAYER	
[4/18/23 10:40AM] Dream used command ::veigar | Player rights = PLAYER	
[4/18/23 10:41AM] Dream used command ::ninetails | Player rights = PLAYER	
[4/18/23 10:42AM] Dream used command :::meruem | Player rights = PLAYER	
[4/18/23 10:42AM] Dream used command ::meruem | Player rights = PLAYER	
[4/18/23 10:42AM] Dream used command ::golden | Player rights = PLAYER	
[4/18/23 10:46AM] Dream used command ::ref | Player rights = PLAYER	
[4/18/23 10:46AM] Dream used command ::home | Player rights = PLAYER	
[4/20/23 10:24AM] Dream used command :::veigar | Player rights = PLAYER	
[4/20/23 10:24AM] Dream used command ::veigar | Player rights = PLAYER	
[4/20/23 10:27AM] Dream used command ::meruem | Player rights = PLAYER	
[4/20/23 10:29AM] Dream used command ::golden::golden | Player rights = PLAYER	
[4/20/23 10:30AM] Dream used command ::golden | Player rights = PLAYER	
[4/20/23 10:34AM] Dream used command ::veigar | Player rights = PLAYER	
[4/20/23 10:38AM] Dream used command ::ninetails | Player rights = PLAYER	
[4/20/23 10:42AM] Dream used command ::meruem | Player rights = PLAYER	
[4/20/23 10:45AM] Dream used command ::golden | Player rights = PLAYER	
[4/20/23 10:47AM] Dream used command ::voteboss | Player rights = PLAYER	
[4/20/23 10:49AM] Dream used command ::veigar | Player rights = PLAYER	
[4/20/23 12:35PM] Dream used command ::home | Player rights = PLAYER	
[4/21/23 07:30AM] Dream used command ::home | Player rights = PLAYER	
[4/21/23 07:32AM] Dream used command ::veigar | Player rights = PLAYER	
[4/21/23 07:34AM] Dream used command ::ninetails | Player rights = PLAYER	
[4/21/23 07:35AM] Dream used command ::muruem | Player rights = PLAYER	
[4/21/23 07:56AM] Dream used command :::dr | Player rights = PLAYER	
[4/21/23 07:56AM] Dream used command ::droprate | Player rights = PLAYER	
[4/21/23 07:57AM] Dream used command ::voeboss | Player rights = PLAYER	
[4/21/23 07:57AM] Dream used command ::vboss | Player rights = PLAYER	
[4/21/23 08:02AM] Dream used command ::veigar | Player rights = PLAYER	
[4/21/23 11:21AM] Dream used command ::home | Player rights = PLAYER	
[4/21/23 11:26AM] Dream used command ::maxhit | Player rights = PLAYER	
[4/21/23 11:31AM] Dream used command ::veigar | Player rights = PLAYER	
[4/21/23 11:31AM] Dream used command ::ninetails | Player rights = PLAYER	
[4/21/23 11:31AM] Dream used command ::veigar | Player rights = PLAYER	
[4/21/23 11:33AM] Dream used command ::ninetails | Player rights = PLAYER	
[4/21/23 11:35AM] Dream used command ::muruem | Player rights = PLAYER	
[4/21/23 11:35AM] Dream used command ::meruem | Player rights = PLAYER	
[4/21/23 11:35AM] Dream used command ::golden | Player rights = PLAYER	
[4/21/23 11:37AM] Dream used command ::home | Player rights = PLAYER	
[4/21/23 01:03PM] Dream used command ::veigar | Player rights = PLAYER	
[4/21/23 01:05PM] Dream used command ::voteboss | Player rights = PLAYER	
[4/21/23 01:15PM] Dream used command ::home | Player rights = PLAYER	
[4/21/23 01:32PM] Dream used command :::veigar | Player rights = PLAYER	
[4/21/23 01:32PM] Dream used command ::veigar | Player rights = PLAYER	
[4/21/23 01:34PM] Dream used command ::ninetails | Player rights = PLAYER	
[4/21/23 01:35PM] Dream used command ::home | Player rights = PLAYER	
[4/21/23 02:03PM] Dream used command ::veigar | Player rights = PLAYER	
[4/21/23 02:04PM] Dream used command ::home | Player rights = PLAYER	
[4/21/23 02:14PM] Dream used command ::Maxhit | Player rights = PLAYER	
[4/21/23 02:31PM] Dream used command ::veigar | Player rights = PLAYER	
[4/21/23 02:33PM] Dream used command ::ninetails | Player rights = PLAYER	
[4/21/23 02:34PM] Dream used command ::meruem | Player rights = PLAYER	
[4/21/23 02:34PM] Dream used command ::golden | Player rights = PLAYER	
[4/21/23 02:36PM] Dream used command ::home | Player rights = PLAYER	
[4/21/23 02:55PM] Dream used command ::reward 1 | Player rights = PLAYER	
[4/21/23 03:03PM] Dream used command ::veigar | Player rights = PLAYER	
[4/21/23 03:04PM] Dream used command ::vboss | Player rights = PLAYER	
[4/21/23 03:29PM] Dream used command ::veigar | Player rights = PLAYER	
[4/21/23 03:33PM] Dream used command ::ninetails | Player rights = PLAYER	
[4/21/23 03:35PM] Dream used command ::meruem | Player rights = PLAYER	
[4/21/23 03:35PM] Dream used command ::home | Player rights = PLAYER	
[4/22/23 04:02AM] Dream used command ::veigar | Player rights = PLAYER	
[4/22/23 04:03AM] Dream used command ::droprate | Player rights = PLAYER	
[4/22/23 04:04AM] Dream used command ::home | Player rights = PLAYER	
[4/22/23 04:22AM] Dream used command ::droprate | Player rights = PLAYER	
[4/22/23 04:32AM] Dream used command ::home | Player rights = PLAYER	
[4/22/23 04:32AM] Dream used command ::veigar | Player rights = PLAYER	
[4/22/23 04:34AM] Dream used command ::ninetails | Player rights = PLAYER	
[4/22/23 04:35AM] Dream used command :::meruem | Player rights = PLAYER	
[4/22/23 04:35AM] Dream used command ::meruem | Player rights = PLAYER	
[4/22/23 04:36AM] Dream used command ::golden | Player rights = PLAYER	
[4/22/23 05:02AM] Dream used command ::veigar | Player rights = PLAYER	
[4/22/23 05:33AM] Dream used command ::ninetails | Player rights = PLAYER	
[4/22/23 05:34AM] Dream used command ::golden | Player rights = PLAYER	
[4/22/23 05:38AM] Dream used command ::maxhit | Player rights = PLAYER	
[4/22/23 05:38AM] Dream used command ::Maxhit | Player rights = PLAYER	
[4/22/23 05:49AM] Dream used command ::home | Player rights = PLAYER	
