[4/23/23 05:27AM] Ozoak used command ::ref lano | Player rights = PLAYER	
[4/23/23 05:29AM] Ozoak used command ::home | Player rights = PLAYER	
[4/23/23 05:30AM] Ozoak used command ::y | Player rights = PLAYER	
[4/23/23 05:37AM] Ozoak used command ::dz | Player rights = PLAYER	
[4/23/23 05:41AM] Ozoak used command ::train | Player rights = PLAYER	
[4/23/23 05:41AM] Ozoak used command ::home | Player rights = PLAYER	
[4/23/23 05:41AM] Ozoak used command ::home | Player rights = PLAYER	
[4/23/23 05:41AM] Ozoak used command ::home | Player rights = PLAYER	
[4/23/23 05:42AM] Ozoak used command ::train | Player rights = PLAYER	
[4/23/23 05:56AM] Ozoak used command ::home | Player rights = PLAYER	
[4/23/23 05:58AM] Ozoak used command ::slayer | Player rights = PLAYER	
[4/23/23 05:59AM] Ozoak used command ::teleport | Player rights = PLAYER	
[4/23/23 05:59AM] Ozoak used command ::teleport | Player rights = PLAYER	
