[4/17/23 09:00AM] Afk1 used command ::Afk | Player rights = PLAYER	
[4/17/23 09:00AM] Afk1 used command ::skill | Player rights = PLAYER	
[4/17/23 09:00AM] Afk1 used command ::skills | Player rights = PLAYER	
[4/17/23 09:02AM] Afk1 used command ::Afk | Player rights = PLAYER	
[4/17/23 10:29AM] Afk1 used command ::Afk | Player rights = PLAYER	
[4/17/23 10:32AM] Afk1 used command ::afk | Player rights = PLAYER	
[4/17/23 10:52AM] Afk1 used command ::home | Player rights = PLAYER	
[4/17/23 10:53AM] Afk1 used command ::Afk | Player rights = PLAYER	
[4/17/23 10:53AM] Afk1 used command ::Afk | Player rights = PLAYER	
[4/17/23 12:12PM] Afk1 used command ::meruem | Player rights = PLAYER	
[4/17/23 12:12PM] Afk1 used command ::Veigar | Player rights = PLAYER	
[4/17/23 12:12PM] Afk1 used command ::ninetails | Player rights = PLAYER	
[4/17/23 12:15PM] Afk1 used command ::golden | Player rights = PLAYER	
[4/17/23 12:17PM] Afk1 used command ::Vboss | Player rights = PLAYER	
[4/17/23 12:18PM] Afk1 used command ::veigar | Player rights = PLAYER	
[4/17/23 12:19PM] Afk1 used command ::ninetails | Player rights = PLAYER	
[4/17/23 12:19PM] Afk1 used command ::meruem | Player rights = PLAYER	
[4/17/23 12:19PM] Afk1 used command ::golden | Player rights = PLAYER	
[4/17/23 12:20PM] Afk1 used command ::meruem | Player rights = PLAYER	
[4/17/23 12:20PM] Afk1 used command ::Golden | Player rights = PLAYER	
[4/17/23 12:22PM] Afk1 used command ::Afk | Player rights = PLAYER	
[4/18/23 06:51AM] Afk1 used command ::Afk | Player rights = PLAYER	
[4/18/23 08:55AM] Afk1 used command ::Afk | Player rights = PLAYER	
[4/19/23 06:52AM] Afk1 used command ::Afk | Player rights = PLAYER	
[4/19/23 07:46AM] Afk1 used command ::afk | Player rights = PLAYER	
[4/19/23 09:16AM] Afk1 used command ::Afk | Player rights = PLAYER	
