[4/19/23 01:06PM] Zane Rosse used command ::refer Wr3ckedyou | Player rights = PLAYER	
[4/19/23 01:13PM] Zane Rosse used command ::slayer | Player rights = PLAYER	
[4/19/23 01:16PM] Zane Rosse used command ::progression | Player rights = PLAYER	
[4/19/23 01:17PM] Zane Rosse used command ::commands | Player rights = PLAYER	
[4/19/23 01:17PM] Zane Rosse used command ::collection | Player rights = PLAYER	
[4/19/23 01:18PM] Zane Rosse used command ::tasks | Player rights = PLAYER	
[4/19/23 01:18PM] Zane Rosse used command ::commands | Player rights = PLAYER	
[4/19/23 01:19PM] Zane Rosse used command ::train2 | Player rights = PLAYER	
[4/19/23 01:19PM] Zane Rosse used command ::train2 | Player rights = PLAYER	
[4/19/23 01:19PM] Zane Rosse used command ::train | Player rights = PLAYER	
[4/19/23 01:21PM] Zane Rosse used command ::train | Player rights = PLAYER	
[4/19/23 01:23PM] Zane Rosse used command ::train | Player rights = PLAYER	
[4/19/23 01:26PM] Zane Rosse used command ::train | Player rights = PLAYER	
[4/19/23 01:29PM] Zane Rosse used command ::train | Player rights = PLAYER	
[4/19/23 01:30PM] Zane Rosse used command ::bank | Player rights = PLAYER	
[4/19/23 01:30PM] Zane Rosse used command ::home | Player rights = PLAYER	
[4/19/23 01:42PM] Zane Rosse used command ::home | Player rights = PLAYER	
[4/19/23 01:44PM] Zane Rosse used command ::veigar | Player rights = PLAYER	
[4/19/23 01:46PM] Zane Rosse used command ::home | Player rights = PLAYER	
[4/19/23 10:50PM] Zane Rosse used command ::npc  | Player rights = PLAYER	
[4/21/23 01:32AM] Zane Rosse used command ::veigar | Player rights = PLAYER	
[4/21/23 01:35AM] Zane Rosse used command ::ninetails | Player rights = PLAYER	
[4/21/23 01:38AM] Zane Rosse used command ::meru | Player rights = PLAYER	
[4/21/23 01:54AM] Zane Rosse used command ::collection | Player rights = PLAYER	
[4/21/23 01:58AM] Zane Rosse used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:58AM] Zane Rosse used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:02AM] Zane Rosse used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:22AM] Zane Rosse used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:32AM] Zane Rosse used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:34AM] Zane Rosse used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:37AM] Zane Rosse used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:39AM] Zane Rosse used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:32PM] Zane Rosse used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:34PM] Zane Rosse used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:35PM] Zane Rosse used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:02PM] Zane Rosse used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:33PM] Zane Rosse used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:34PM] Zane Rosse used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:50PM] Zane Rosse used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:02PM] Zane Rosse used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:06PM] Zane Rosse used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:15PM] Zane Rosse used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:38PM] Zane Rosse used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:40PM] Zane Rosse used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:48PM] Zane Rosse used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:34PM] Zane Rosse used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:34PM] Zane Rosse used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:52AM] Zane Rosse used command ::collection | Player rights = CLERIC_DONATOR	
[4/22/23 10:56AM] Zane Rosse used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 10:56AM] Zane Rosse used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 10:56AM] Zane Rosse used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 01:54AM] Zane Rosse used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/24/23 01:55AM] Zane Rosse used command ::perks | Player rights = CLERIC_DONATOR	
